Darija_Arabe,Arabizi,Arabe_Standard,Anglais
شارف,chaarf,قديم,old
شارف,charef,قديم,old
صعيب,s3ib,صعيب,hard
قاسح,9as7,صعيب,hard
قاسح,9aas7,صعيب,hard
قاسح,9ase7,صعيب,hard
قاسح,9ase7,صعيب,hard
ساهل,sa8l,سهل,easy
ساهل,sahl,سهل,easy
ساهل,sa8el,سهل,easy
ساهل,sahel,سهل,easy
معطّل,m3ttl,معطّل,late
معطّل,m3ttel,معطّل,late
معطّل,m3attal,معطّل,late
معطّل,m3atal,معطّل,late
حقيقية,7a9i9ia,حقيقية,real
حقيقية,haqiqia,حقيقية,real
عادي,3adi,عادي,normal
ڭادّ,gadd,قادر,able
بسيط,bsit,بسيط,simple
بسيط,basit,بسيط,simple
معقّد,m39d,معقّد,complex
معقّد,m3a9ad,معقّد,complex
معقّد,m3e9ed,معقّد,complex
معقّد,m3a9ed,معقّد,complex
تقيل,t9il,ثقيل,slow
تقيل,tqil,ثقيل,slow
تقيل,t9il,ثقيل,heavy
تقيل,tqil,ثقيل,heavy
واسع,was3,واسع,wide
واسع,wase3,واسع,wide
واسع,wasa3,واسع,wide
ناشط,nacht,ناشط,happy
ناشط,nachet,ناشط,happy
نقي,n9i,نقي,clean
نقي,nqi,نقي,clean
خايب,khayb,خايب,bad
خايب,khayeb,خايب,bad
خايب,5ayb,خايب,bad
عادل,3aadil,عادل,fair
عادل,3adil,عادل,fair
غني,ghany,غني,rich
غني,ghani,غني,rich
فقير,fa9ir,فقير,poor
فقير,faqir,فقير,poor
طبيعي,Tabi3i,طبيعي,natural
طبيعي,Taby3i,طبيعي,natural
مفروق,mfrou9,مفروق,separate
مفروق,mafrou9,مفروق,separate
مفروق,mefro9,مفروق,separate
مفروق,mafro9,مفروق,separate
مشهور,mch8our,مشهور,famous
مشهور,mech8our,مشهور,famous
مشهور,mch8or,مشهور,famous
مشهور,mach8our,مشهور,famous
فرحان,fr7an,فرحان,glad
فرحان,far7an,فرحان,glad
فرحان,fer7an,فرحان,glad
فرحان,farhan,فرحان,glad
دوريجين,dourijin,دوريجين,original
دوريجين,dorijin,دوريجين,original
خايف,khayf,خايف,afraid
خايف,5ayf,خايف,afraid
خايف,khayef,خايف,afraid
خايف,5ayef,خايف,afraid
ضخم,Dakhm,ضخم,huge
ضخم,Da5m,ضخم,huge
عملاق,3imla9,عملاق,giant
زاهي,za8i,مبتهج,cheerful
زاهي,zaa8i,مبتهج,cheerful
زاهي,zahi,مبتهج,cheerful
زاهي,zaahi,مبتهج,cheerful
فخور,fakhour,فخور,proud
فخور,fakhor,فخور,proud
فخور,fa5our,فخور,proud
فخور,fa5or,فخور,proud
راضي,radi,راضي,satisfied
راضي,raadi,راضي,satisfied
حزين,7azin,حزين,sad
نادم,nadm,نادم,regretful
نادم,naadm,نادم,regretful
نادم,naadem,نادم,regretful
نادم,nadem,نادم,regretful
نادم,nadam,نادم,regretful
مكتئب,mkta2b,مكتئب,depressed
مكتئب,mkta2b,مكتئب,depressed
مكتئب,mekta2eb,مكتئب,depressed
مكتئب,mekta2ab,مكتئب,depressed
مكتئب,mokta2ab,مكتئب,depressed
مسكين,mskin,مسكين,miserable
مسكين,meskin,مسكين,miserable
مسكين,maskin,مسكين,miserable
مسكين,miskin,مسكين,miserable
مرتاح,mrta7,مرتاح,comfortable
مرتاح,merta7,مرتاح,comfortable
مرتاح,marta7,مرتاح,comfortable
مشغول,mchghoul,مشغول,busy
مشغول,mchghol,مشغول,busy
مشغول,mechghoul,مشغول,busy
مشغول,machghoul,مشغول,busy
مشطون,mchton,مشطون,worried
مشطون,mchtoun,مشطون,worried
مشطون,mechton,مشطون,worried
مشطون,machToun,مشطون,worried
معصّب,m3ssb,معصّب,nervous
معصّب,m3esseb,معصّب,nervous
معصّب,m3assab,معصّب,nervous
معصّب,m3aseb,معصّب,nervous
مشاغب,mochaghib,مشاغب,troublemaker
مشاغب,mochaaghib,مشاغب,troublemaker
غضبان,ghdban,غضبان,angry
غضبان,ghadban,غضبان,angry
غضبان,ghedban,غضبان,angry
مرڭ,mrg,مُحرَج,embarrassed
مرڭ,mreg,مُحرَج,embarrassed
مرڭ,mrag,مُحرَج,embarrassed
حشمان,7chman,خجلان,shy
حشمان,7echman,خجلان,shy
حشمان,7achman,خجلان,shy
كالم,kalm,هاديء,calm
كالم,calm,هاديء,calm
وحيد,wa7id,وحيد,lonely
وحيد,wa7yd,وحيد,lonely
وحيد,wahid,وحيد,lonely
منباهر,mnba8er,منبهر,amazed
منباهر,mnba8ar,منباهر,amazed
منباهر,mnba8r,منباهر,amazed
منباهر,menba8ar,منباهر,amazed
مستغرب,mstghrb,مستغرب,astonished
مستغرب,msteghreb,مستغرب,astonished
مستغرب,mstaghreb,مستغرب,astonished
مستغرب,mestaghreb,مستغرب,astonished
مشوكي,mchoki,مصدوم,shocked
مروّن,mrwwn,مبعثر,confused
مروّن,mrewwen,مبعثر,confused
مروّن,mrawwen,مبعثر,confused
متردّد,mtredded,متردّد,hesitant
متردّد,mtradded,متردّد,hesitant
متردّد,mtraddad,متردّد,hesitant
متردّد,mtreded,متردّد,hesitant
متردّد,mtraded,متردّد,hesitant
متردّد,mtradad,متردّد,hesitant
عيّان,3yyan,تعبان,tired
عيّان,3eyyan,تعبان,tired
عيّان,msekhsekh,تعبان,tired
عيّان,mot3ab,عيّان,tired
عيّان,3yan,تعبان,tired
عيّان,3eyan,تعبان,tired
عيّان,mse5se5,تعبان,tired
عيّان,mot3ab,عيّان,tired
طمّاع,Tmma3,طمّاع,greedy
طمّاع,Tamma3,طمّاع,greedy
طمّاع,Temma3,طمّاع,greedy
طمّاع,Tma3,طمّاع,greedy
طمّاع,Tama3,طمّاع,greedy
طمّاع,Tema3,طمّاع,greedy
أناني,anani,أناني,selfish
أناني,anaani,أناني,selfish
سخي,skhi,سخي,generous
سخي,s5i,سخي,generous
سقرام,s9ram,بخيل,stingy
سقرام,se9ram,بخيل,stingy
بخيل,bakhil,بخيل,stingy
بخيل,ba5il,بخيل,stingy
ضريف,Drief,ظريف,kind
ضريف,Drayaf,ظريف,kind
ضريف,Drayef,ظريف,kind
ضريف,Dryef,ظريف,kind
صبّار,Sbbar,صبّار,patient
صبّار,Sabbar,صبّار,patient
صبّار,Sbar,صبّار,patient
صبّار,Sabar,صبّار,patient
مأدب,m2ddb,مأدب,polite
مأدب,m2ddeb,مأدب,polite
مأدب,m2eddeb,مأدب,polite
مأدب,m2addeb,مأدب,polite
مأدب,m2db,مأدب,polite
مأدب,m2deb,مأدب,polite
مأدب,m2edeb,مأدب,polite
مأدب,m2adeb,مأدب,polite
معڭاز,m3gaz,كسول,lazy
معڭاز,me3gaz,كسول,lazy
معڭاز,ma3gaz,كسول,lazy
معڭاز,m3jaz,كسول,lazy
معڭاز,me3jaz,كسول,lazy
معڭاز,ma3jaz,كسول,lazy
مجتهد,mojta8id,مجتهد,hardworking
مجتهد,mojtahid,مجتهد,hardworking
مجتهد,moujta8id,مجتهد,hardworking
شجاع,choja3,شجاع,brave
شجاع,chojaa3,شجاع,brave
زاعم,za3em,شجاع,brave
زاعم,zaa3em,شجاع,brave
زاعم,za3m,شجاع,brave
فضولي,fdoli,فضولي,curious
فضولي,fdouli,فضولي,curious
فضولي,fodouli,فضولي,curious
مغرور,mghrour,مغرور,arrogant
مغرور,mghror,مغرور,arrogant
متواضع,mtwad3,متواضع,humble
متواضع,metwade3,متواضع,humble
متواضع,mtwada3,متواضع,humble
جاهل,ja8il,جاهل,ignorant
جاهل,jaa8il,جاهل,ignorant
جاهل,jahil,جاهل,ignorant
عبيط,3abit,أحمق,silly
دكي,dki,ذكي,smart
حكيم,7akim,حكيم,wise
حكيم,hakim,حكيم,wise
نابغة,nabigha,نابغة,genius
نابغة,naabigha,نابغة,genius
أمين,amine,أمين,trustworthy
كدّاب,kddab,كدّاب,liar
كدّاب,keddab,كدّاب,liar
كدّاب,kaddab,كدّاب,liar
غدّار,ghddar,غدّار,betrayer
غدّار,gheddar,غدّار,betrayer
غدّار,ghaddar,غدّار,betrayer
نصّاب,nssab,نصّاب,swindler
نصّاب,nessab,نصّاب,swindler
نصّاب,nassab,نصّاب,swindler
نيّة,nyya,نيّة,naive
نيّة,nia,نيّة,naive
نيّة,nya,نيّة,naive
متفاءل,mtfa2l,متفاءل,optimistic
متفاءل,mtfa2el,متفاءل,optimistic
متفاءل,motafa2il,متفاءل,optimistic
متشاءم,mtcha2m,متشاءم,pessimistic
متشاءم,mtcha2em,متشاءم,pessimistic
متشاءم,motacha2im,متشاءم,pessimistic
كوميك,komik,مضحك,funny
كوميك,comic,مضحك,funny
يتيم,ytim,يتيم,orphan
يتيم,yatim,يتيم,orphan
يتيم,itym,يتيم,orphan
يتيم,ytym,يتيم,orphan
حاملة,7amla,حامل,pregnant
حاملة,hamla,حامل,pregnant
إجابي,ijabi,إجابي,positive
سلبي,silbi,سلبي,negative
واقعي,waa9i3i,واقعي,realistic
واقعي,wa9i3i,واقعي,realistic
تايعيّف,tay3yyef,مقرف,disgusting
تايعيّف,tay3yyf,مقرف,disgusting
كايعيّف,kay3iyyef,مقرف,disgusting
كايعيّف,kay3yyaf,مقرف,disgusting
تايعادي,tay3adi,معدي,contagious
تايعادي,kay3adi,معدي,contagious
عمى,3ma,أعمى,blind
صمك,Smk,أصم,deaf
صمك,Smek,أصم,deaf
صمك,Smak,أصم,deaf
صم,ssam,أصم,deaf
صم,ssum,أصم,deaf
زيزون,zizoun,زيزون,mute
زيزون,zizon,زيزون,mute
مشلّل,mchllel,مشلّول,paralyzed
مشلّل,mchallal,مشلّول,paralyzed
مشلّل,mchellal,مشلّول,paralyzed
مشلّل,mchallel,مشلّول,paralyzed
مشلّل,mchlel,مشلّول,paralyzed
مشلّل,mchalal,مشلّول,paralyzed
مشلّل,mchelal,مشلّول,paralyzed
مشلّل,mchalel,مشلّول,paralyzed
معوّق,mo3wwa9,معوّق,handicapped
معوّق,mo3a9,معوّق,handicapped
معوّق,mo3aa9,معوّق,handicapped
معوّق,mo3awe9,معوّق,handicapped
معوّق,m3awa9,معوّق,handicapped
معوّق,m3aw9,معوّق,handicapped
معوّق,mo3aweq,معوّق,handicapped
معوّق,m3awaq,معوّق,handicapped
معوّق,m3awq,معوّق,handicapped
عاڭر,3agr,عاقر,sterile
عاڭر,3ager,عاقر,sterile
عاڭر,3agar,عاقر,sterile
مجهول,mj8oul,مجهول,unknown
مجهول,mj8ol,مجهول,unknown
مجهول,mjhoul,مجهول,unknown
مقبول,m9boul,مقبول,acceptable
مقبول,ma9boul,مقبول,acceptable
مقبول,m9bol,مقبول,acceptable
معقول,m39ol,معقول,reasonable
معقول,m39oul,معقول,reasonable
معقول,m3qol,معقول,reasonable
معقول,m3qoul,معقول,reasonable
منحاز,mn7az,منحاز,biased
منحاز,men7az,منحاز,biased
منحاز,man7az,منحاز,biased
منحاز,mn7aaz,منحاز,biased
محايد,mo7ayid,محايد,neutral
محايد,mo7aayid,محايد,neutral
واضح,waad7,واضح,clear
واضح,waade7,واضح,clear
منحاز,mnhaz,منحاز,biased
منحاز,menhaz,منحاز,biased
منحاز,manhaz,منحاز,biased
منحاز,mnhaaz,منحاز,biased
محايد,mohayid,محايد,neutral
محايد,mohaayid,محايد,neutral
واضح,waadh,واضح,clear
واضح,waadeh,واضح,clear
واضح,wad7,واضح,clear
واضح,wade7,واضح,clear
مجرم,mojrim,مجرم,criminal
مجرم,moujrim,مجرم,criminal
قتّال,9ttal,قتّال,murderer
قتّال,9ettal,قتّال,murderer
قتّال,qttal,قتّال,murderer
قتّال,qettal,قتّال,murderer
غالي,ghali,غالي,expensive
رخيص,rkhis,رخيص,cheap
ڭاع,ga3,الجميع,all
لخرين,lkhrin,الاخرون,other
لخرين,khrin,الاخرون,other
زوين,zwin,جيد,good
لخر,lkher,الأخير,last
لخر,l5er,الأخير,last
بحال,b7al,نفس,same
بحال,bhal,نفس,same
صغير,sghir,صغير,little
مغيّر,mghyyer,مختلف,different
مغيّر,mghayer,مختلف,different
مغيّر,mghyer,مختلف,different
اللي مورا,lli mora,بعد,next
اللي مورا,li mora,بعد,next
عضيم,3adim,عظيم,great
محلّي,ma7lli,محلّي,local
محلّي,ma7alli,محلّي,local
محلّي,ma7li,محلّي,local
محلّي,ma7ali,محلّي,local
جتماعي,jtima3i,اجتماعي,social
جتماعي,jtimaa3i,اجتماعي,social
مهم,mo8im,مهم,important
مهم,mohim,مهم,important
مهم,mohimm,مهم,important
وطني,watani,وطني,national
عالي,3aali,عالي,high
عالي,3ali,عالي,high
طويل,twil,طويل,long
التاني,ttani,الثاني,second
التاني,tani,الثاني,second
واسع,waas3,واسع,large
واسع,was3,واسع,large
واسع,wase3,واسع,large
واسع,wasa3,واسع,large
عامّ,3aamm,عامّ,general
عامّ,3amm,عامّ,general
عامّ,3am,عامّ,general
ممكن,momkin,ممكن,possible
ممكن,moumkin,ممكن,possible
شابّ,chaabb,شابّ,young
شابّ,chab,شابّ,young
سياسي,syasi,سياسي,political
سياسي,siasi,سياسي,political
سياسي,siyasi,سياسي,political
عمومي,3omoumi,عمومي,public
عمومي,3omomi,عمومي,public
محدّد,mo7ddad,محدّد,particular
محدّد,mo7adad,محدّد,particular
محدّد,mo7added,محدّد,particular
محدّد,mohddad,محدّد,particular
محدّد,mohadad,محدّد,particular
محدّد,mohadded,محدّد,particular
موجود,mojoud,موجود,available
موجود,mojod,موجود,available
بكري,bkri,باكرا,early
بكري,bekri,باكرا,early
أساسي,asaasi,أساسي,main
أساسي,asasi,أساسي,main
رئيسي,ra2isi,رئيسي,major
رئيسي,raissi,رئيسي,major
رئيسي,ra2issi,رئيسي,major
قتصادي,9tisadi,اقتصادي,economic
قتصادي,i9tisadi,اقتصادي,economic
قتصادي,qtisadi,اقتصادي,economic
قتصادي,iqtisadi,اقتصادي,economic
مؤكد,mo2kkad,مؤكد,sure
مؤكد,mo2akad,مؤكد,sure
غالبا,ghaliban,غالبا,likely
غالبا,ghaaliban,غالبا,likely
وحيد,wa7id,وحيد,only
وحيد,wa7iid,وحيد,only
وحيد,wahid,وحيد,only
دولي,dawli,دولي,international
دولي,dowali,دولي,international
مؤكد,m2kked,مؤكد,certain
مؤكد,mo2kkad,مؤكد,certain
معيّن,mo3yyan,معيّن,assigned
معيّن,mo3ayan,معيّن,assigned
معيّن,mo3yyan,معيّن,certain
مميّز,momyyaz,مميّز,special
مميّز,momayaz,مميّز,special
صعيب,s3ib,صعب,difficult
محلول,m7loul,محلول,open
محلول,ma7loul,محلول,open
محلول,ma7loul,محلول,open
كولّشي,kollchi,كامل,whole
نصّ,ness,نصف,half
حرّ,7orr,حرّ,free
حرّ,7or,حرّ,free
مركزي,markazi,مركزي,central
مشترك,mochtarak,مشترك,common
شائع,cha2i3,شائع,common
شائع,chaa2i3,شائع,common
متشابه,mtchab8,متشابه,similar
متشابه,metchab8,متشابه,similar
متشابه,matchabh,متشابه,similar
متشابه,mtchabeh,متشابه,similar
ضروري,Darouri,ضروري,necessary
ضروري,Darori,ضروري,necessary
صحيح,S7i7,صحيح,true
صحيح,Shih,صحيح,true
عازب,3aazib,عازب,single
عازب,3azib,عازب,single
وحيد,wa7id,وحيد,single
وحيد,wahid,وحيد,single
خاصّ,khass,خاصّ,private
خاصّ,khaas,خاصّ,private
خاصّ,5as,خاصّ,private
شخصي,chkhsi,شخصي,personal
شخصي,chekhsi,شخصي,personal
شخصي,chakhsi,شخصي,personal
شخصي,ch5si,شخصي,personal
شخصي,che5si,شخصي,personal
شخصي,cha5si,شخصي,personal
مالي,maali,مالي,financial
مالي,mali,مالي,financial
أجنبي,ajnabi,أجنبي,foreign
شديد,chdid,شديد,strong
شديد,chadid,شديد,strong
ناقص,naa9s,ناقص,low
ناقص,na9es,ناقص,low
ناقص,na9as,ناقص,low
متنوّع,mtnwwe3,متنوّع,various
متنوّع,mtnowwe3,متنوّع,various
متنوّع,metnwe3,متنوّع,various
متنوّع,matnowwe3,متنوّع,various
حاضر,7aadir,حاضر,present
حاضر,7adir,حاضر,present
حاضر,7adhir,حاضر,present
ملكي,malaki,ملكي,royal
خاطئ,khat2,خاطئ,wrong
خاطئ,khati2,خاطئ,wrong
خاطئ,khaat2,خاطئ,wrong
بوحدو,bo7do,فرد,individual
بوحدو,bwa7do,فرد,individual
بوحدو,bohdo,فرد,individual
بوحدو,bwahdo,فرد,individual
حالي,7aali,حالي,current
حالي,7ali,حالي,current
قانوني,9aanouni,قانوني,legal
قانوني,9anouni,قانوني,legal
قانوني,9anoni,قانوني,legal
قانوني,qaanouni,قانوني,legal
قانوني,qanouni,قانوني,legal
قانوني,qanoni,قانوني,legal
حديت,7adit,حديث,modern
حديت,7adit,حديث,modern
حديت,hadith,حديث,modern
لخر,lkher,نهائي,final
لخر,llekher,نهائي,final
لخر,l5er,نهائي,final
لخر,lle5er,نهائي,final
زوين,zwin,جميل,nice
مزيان,mzyan,مزيان,fine
مزيان,mzian,مزيان,fine
مزيان,mezian,مزيان,fine
مزيان,mezyan,مزيان,fine
قريب,9rib,قريب,close
قريب,qrib,قريب,close
معقول,m39ol,معقول,serious
معقول,m39oul,معقول,serious
معقول,ma39ol,معقول,serious
معقول,ma39oul,معقول,serious
معقول,ma3qol,معقول,serious
معقول,ma3qoul,معقول,serious
سابق,saabi9,سابق,previous
سابق,sabi9,سابق,previous
معتبر,mo3tabar,معتبر,significant
رئيس,ra2is,رئيس,prime
صناعي,Sinaa3i,صناعي,industrial
صناعي,Sina3i,صناعي,industrial
محدّد,mo7ddad,محدّد,specific
محدّد,mo7addad,محدّد,specific
محدّد,mohadad,محدّد,specific
مناسب,monaasib,مناسب,appropriate
مناسب,monasib,مناسب,appropriate
مناسب,monassib,مناسب,appropriate
عالي,3aali,عالي,top
عالي,3ali,عالي,top
ميّت,myyet,ميّت,dead
ميّت,mayet,ميّت,dead
ميّت,meyet,ميّت,dead
متأسّف,mt2ssef,متأسّف,sorry
متأسّف,mota2ssef,متأسّف,sorry
ناجح,naaj7,ناجح,successful
ناجح,naj7,ناجح,successful
ناجح,naaje7,ناجح,successful
ناجح,naje7,ناجح,successful
ناجح,naajeh,ناجح,successful
ناجح,najeh,ناجح,successful
حربي,7rbi,حربي,military
حربي,7arbi,حربي,military
حربي,7erbi,حربي,military
أساسي,asaasi,أساسي,basic
أساسي,asasi,أساسي,basic
أساسي,assasi,أساسي,basic
واعي,wa3i,واعي,aware
واعي,waa3i,واعي,aware
مشهور,mch8our,مشهور,popular
مشهور,mch8or,مشهور,popular
مشهور,mech8our,مشهور,popular
مشهور,mech8or,مشهور,popular
مشهور,mach8our,مشهور,popular
مشهور,mach8or,مشهور,popular
مشهور,mchhour,مشهور,popular
مشهور,mchhor,مشهور,popular
مشهور,mechhour,مشهور,popular
مشهور,mechhor,مشهور,popular
مشهور,machhour,مشهور,popular
مشهور,machhor,مشهور,popular
مهني,mi8ani,مهني,professional
مهني,mihani,مهني,professional
مباشر,mobachir,مباشر,direct
مباشر,moubachir,مباشر,direct
مباشر,mobaachir,مباشر,direct
مفيد,mofid,مفيد,useful
مفيد,moufid,مفيد,useful
فعّال,f33al,فعّال,effective
فعّال,f33aal,فعّال,effective
فعّال,fa3al,فعّال,effective
فعّال,fe3al,فعّال,effective
واجد,wajd,جاهز,ready
مضلّم,mdllem,مظلّم,dark
مضلّم,mdellem,مظلّم,dark
مضلّم,mdallem,مظلّم,dark
مضلّم,mdlem,مظلّم,dark
مضلّم,mdelem,مظلّم,dark
مضلّم,mdalem,مظلّم,dark
مستقل,mosta9ill,مستقل,independent
مستقل,mosta9il,مستقل,independent
تقليدي,t9lidi,تقليدي,traditional
تقليدي,ta9lidi,تقليدي,traditional
تقليدي,te9lidi,تقليدي,traditional
غربي,ghrbi,غربي,western
غربي,gherbi,غربي,western
غربي,gharbi,غربي,western
معتبر,mo3tabar,معتبر,considerable
بارد,bard,بارد,cold
بارد,baard,بارد,cold
بارد,bared,بارد,cold
بارد,baared,بارد,cold
مسؤول,ms2oul,مسؤول,responsible
مسؤول,ms2ol,مسؤول,responsible
مسؤول,mas2oul,مسؤول,responsible
مسؤول,mas2ol,مسؤول,responsible
كامل,kaml,كامل,complete
كامل,kaaml,كامل,complete
كامل,kamel,كامل,complete
كامل,kamil,كامل,complete
طبّي,Tibbi,طبّي,medical
سخون,skhoun,سخون,hot
سخون,skhon,سخون,hot
سخون,s5oun,سخون,hot
سخون,s5on,سخون,hot
مهم,mo8imm,مهم,essential
مهم,mohimm,مهم,essential
مهم,mo8im,مهم,essential
مهم,mohim,مهم,essential
دكري,dakari,ذكري,male
أوّلي,awali,أوّلي,primary
مدني,madani,مدني,civil
مستقبلي,most9bali,مستقبلي,future
مستقبلي,mosta9bali,مستقبلي,future
بيئي,by2i,بيئي,environmental
بيئي,bi2i,بيئي,environmental
واضح,wadeh,واضح,obvious
واضح,wadh,واضح,obvious
واضح,wadah,واضح,obvious
واضح,wad7,واضح,obvious
واضح,wada7,واضح,obvious
لكبير,lkbir,كبير,senior
نووي,nawawi,نووي,nuclear
سنوي,sanawi,سنوي,annual
جهوي,jihawi,جهوي,regional
جهوي,ji8awi,جهوي,regional
تجاري,tijari,تجاري,commercial
تجاري,tijaari,تجاري,commercial
اللخر,llekher,الأخير,latter
اللخر,lle5er,الأخير,latter
تطبيقي,tatbi9i,تطبيقي,practical
تطبيقي,tatbiqi,تطبيقي,practical
عملي,3amali,عملي,practical
عميق,3amiq,عميق,deep
رسمي,rsmi,رسمي,official
رسمي,rasmi,رسمي,official
رسمي,resmi,رسمي,official
رئيسي,ra2isi,رئيسي,chief
منتضم,montadim,منتظم,regular
منتضم,montadhim,منتظم,regular
منتضم,montadem,منتظم,regular
مألوف,m2louf,مألوف,usual
مألوف,m2lof,مألوف,usual
مألوف,ma2louf,مألوف,usual
مألوف,ma2lof,مألوف,usual
زايد,zayd,بزيادة,additional
زايد,zayed,بزيادة,additional
ناشط,nacht,ناشط,active
ناشط,nachet,ناشط,active
ستاندار,standar,قياسي,standard
قوي,9wi,قوي,powerful
قوي,9awi,قوي,powerful
وسط,wasat,وسط,middle
وسط,wst,وسط,middle
ڭدّامي,gddami,امامي,front
مستحيل,mosta7il,مستحيل,impossible
مستحيل,mostahil,مستحيل,impossible
منزلي,mnzili,منزلي,domestic
منزلي,manzili,منزلي,domestic
فعلي,fi3li,فعلي,actual
تقني,ti9ni,تقني,technical
تقني,tiqni,تقني,technical
عادي,3adi,عادي,ordinary
عادي,3aadi,عادي,ordinary
داخلي,dakhili,داخلي,internal
داخلي,daakhili,داخلي,internal
داخلي,da5ili,داخلي,internal
داخلي,daa5ili,داخلي,internal
ممتاز,momtaz,ممتاز,excellent
ممتاز,momtaaz,ممتاز,excellent
طري,tri,طري,fresh
بعيد,b3id,بعيد,far
محتمل,mo7tamal,محتمل,potential
محتمل,mohtamal,محتمل,potential
شمالي,chamali,شمالي,northern
ديني,dini,ديني,religious
ديني,dyni,ديني,religious
ديني,diini,ديني,religious
تقافي,ta9afi,ثقافي,cultural
تقافي,ta9aafi,ثقافي,cultural
مشترك,mochtarak,مشترك,joint
امن,aamin,امن,safe
امن,2aamin,امن,safe
محافض,mo7afid,محافض,conservative
محافض,mo7aafid,محافض,conservative
شكلي,chkli,شكلي,formal
شكلي,chakli,شكلي,formal
مناسب,monasib,مناسب,proper
بزّاف,bzzaf,كثيرا,very
بزّاف,bezzaf,كثيرا,very
بزّاف,bazzaf,كثيرا,very
بزّاف,bzf,كثيرا,very
بزّاف,bezaf,كثيرا,very
بزّاف,bazaf,كثيرا,very
قروي,9arawi,قروي,rural
قروي,qarawi,قروي,rural
مبدئي,mbda2i,مبدئي,initial
مبدئي,mabda2i,مبدئي,initial
ماقادش,magaddch,غير قادر,unable
معدّل,mo3ddal,معدّل,average
معدّل,mo3addal,معدّل,average
معدّل,mo3addel,معدّل,average
دافي,dafi,دافي,warm
دافي,daafi,دافي,warm
غريب,ghrib,غريب,strange
غريب,gharib,غريب,strange
ملائم,mola2im,ملائم,suitable
ملائم,molaa2im,ملائم,suitable
محبوب,m7bob,محبوب,lovely
محبوب,m7boub,محبوب,lovely
محبوب,ma7bob,محبوب,lovely
محبوب,ma7boub,محبوب,lovely
محبوب,mhbob,محبوب,lovely
محبوب,mhboub,محبوب,lovely
محبوب,mahbob,محبوب,lovely
محبوب,mahboub,محبوب,lovely
فوري,fawri,فوري,immediate
إجمالي,ijmali,إجمالي,overall
إجمالي,ijmaali,إجمالي,overall
مساوي,msawi,مساوي,equal
كافي,kafi,كافي,sufficient
