Darija (Arabic),English
هاكا معا شي مريض ؟ .. ~ ( رجعات حمرة وهي كتحاول تملص من هاد,"""Like this with a patient?"""
الأسئلة ) احم م ماشي موشكيل المهم أنك بريتي .. شاف فيها بإبتسامة فعلا ضحكاتو,"The questions) Ahem, it's not a problem, the important thing is that you're better... He looked at her with a smile, indeed his laughter."
بهاد التوتر .. ~ مم يعني نفهم نتي وليتي ملكي دابا .. شافت فيه بصدمة,"""With this tension... ~ Does that mean I should understand that you're mine now?.. She looked at him in shock."""
ورجعات بسرعة دورات عينيها وغادا نايضة .. ~ ( بتوتر ) أنا م م مالك,"She quickly rolled her eyes and was about to get up... ~ (nervously) ""W-what's wrong?"""
حد بسرعة غادا وطاااااف طاحت معكلة ... إهئ اهئ اش هاد الكابوووس نطيح فمجلس الوزراء,Someone quickly passed by and suddenly fell... *sobs* What is this nightmare? I end up in the Council of Ministers.
ومانديرش هاد الشوهة تاكنحس بيد كتهزني من كوعي .. يحيى ~ ( بصوت حنين وفنفس,"""And I won't make this scene until I feel a hand lifting me by my elbow... Yahya ~ (in a tender and emotional voice)"""
الوقت غالباه الضحكة ) هههه غير بشوية عليك مالكي على حالتك .. نوضها وهي ماقادراش,"Time is mostly laughter. (Haha, take it easy, what's wrong with you... Get up, but she can't.)"
تشوف فوجهو نهائيا من قوة ما وجها حمر مشات غادا وهو من موراها كيضحك على,"You can see it on his face; her face turned red from embarrassment as she walked away, and he followed behind her laughing."
هاد الحمقة .. هابطة من الطيارة من مور هاد الشوهة وكنحس بيه من مورايا ولكن,"This madness... getting off the plane after this embarrassment, and I feel him behind me, but..."
مابغاش ندور درت الإجراءات ونص عيني عليه .. بعدما خرجت كنشوف ماما واقفة كتسناني كيف,"He didn’t want to talk, I took the steps and kept an eye on him... After I went out, I saw my mom standing, waiting for me."
وصلت وقبل ماتسلم عليا قالت بصوت متفاجأ .. غزلان ~ يحيى الأيوبي هادا نتا !,"She arrived, and before greeting me, she said in a surprised voice, ""Ghazlan ~ Yahya Al-Ayoubi, is that you?!"""
! ! نوار ١٢:٠٠ زوالا ... هه منيتها .. درت شفتو كان ولاهيلا واقف مورايا,"Noon ... Haha, I wished for it ... I turned and saw him standing behind me."
داز من قدامي حتا كيسلم على ماما من اليد .. يحيى ~ الأستاذة غزلان بن,He passed in front of me and even greeted my mom by shaking her hand.
عياض .. غزلان ~ هادا نهار كبيير لي شفناك كيداي لاباس بيخير .. نوار ~,Iyad .. Ghizlane ~ This is a great day seeing you doing well .. Noir ~
بنفسها : إوا صافي هادشي لي كان ناقص .. يحيى ~ هادا شرف ليا ..,"Herself: Well, that's all that was missing... Yahya ~ It's an honor for me."
غزلان ~ كيدايرين واليديك كولشي مزيان .. نوار ~ مااما يحيى ~ الحمد لله كولشي,"Ghazlan ~ How are your parents? Is everything good?  
Noir ~ Yes, yes.  
Yahya ~ Thank God, everything is fine."
مزيان .. ( دار عند نوار ) نوار ماشي حشومة ماتقوليليش ماماك هي الأستاذة الجامعية,"Good .. (turns to Nawar) Nawar, isn't it shameful? Don't tell me your mom is the university professor."
غزلان بن عياض ( غمزها بلى مايعيق ) .. نوار خرجات عينيها على جهدهوم ..,Ghazlan bin Ayad (winked at her without hesitation)... Nawar widened her eyes at their effort...
غزلان ~ نوو واش كتعرفو بعضكوم .. نوار ~ ا و هو غير مريض كان,"Ghazlan ~ Noo, do you know each other? .. Nwar ~ Yes, he was just sick."
عندي أماما هو لي ديجا عاودتليك عليه .. غزلان ~ ( بتفاجأ ) اييييه واخا,"I have a story that I already told you about .. Ghizlane ~ (surprised) Oh, okay."
عليك وماتقوليليش هو يحيى .. نوار ~ ( بنفسها : شفت هادو غير كيلصقو فيا,"""Don't tell me it's Yahya... Nawar ~ (to herself: I see these people just cling to me)"""
الباطل ) .. غزلان ~ فرحانة بزاف بشوفتك أولدي ومرحبا بيك للعشا ( دات عند,Falsehood
نوار ) ونتي واخا حسابي معاك من البعد .. نوار ~ شنااااهو ماما كيفاش لعشا,"Nour: Even though I have a score to settle with you from afar...  
Nour: What is it, Mom? How's dinner?"
حماقيتي ؟ .. غزلان تصدمات وهي تقرصها من لتحت .. يحيى دار عندها وكيضحك فخاطرو,"""Am I crazy?"" .. Ghizlane was shocked as she pinched her from below .. Yahya turned to her, laughing to himself."
~ ياك لهاد الدراجة كتكرهني أدكتورة ممم .. غزلان ~ بنتي كوني تحشمي شوية يحيى,"~ ""You hate me, don't you, doctor? Hmm... Ghizlane."" ~ ""My daughter, have some shame, Yahya."""
ماشي غريب وهو كان من أحسن طلاب عندي لاعساك أولدي ماتديش عليها من كترت ماعالجات,"It's not strange, he was one of my best students. Don't worry, my son, don't pay attention to her; she's been through a lot."
الحماق ولات تصرف بحالهوم .. نوار رجعات حمرةةةةةة وفخاطرها كتقول يااااااااك أماماااا ... يحيى ~,"""Madness has become their behavior... Nuwar turned red and confidently said, 'Right, Mama?'... Long live ~"""
( ضحك من نيتو حتا بانو غميزاتو ) هههههه ياك بعدا ... لولهة سحرها بضحكاتو,"(He laughed genuinely until his dimples showed) Hahaha, right? ... The moment has its charm with his laughter."
وبقات ساهية فيها ونسات حتا فين وصل بحوارو معا مها .. اااه وشنو هاد الرجل,"She remained lost in thought and even forgot where his conversation with her mother had reached... Ah, what kind of man is this?"
لي عشقتو أنا وأنا كلما كنشوفو بحالي كنخلاق من جديد .. غزلان ~ مهيم أولدي,"The one I loved, and every time I see them, I feel like I'm reborn... Ghizlane ~ Oh my child."
مرحبا بيك لعندنا للعشا ودون نقاش .. يحيى ~ ههه أكيد نتشرف بالحضور .. كيف,"Welcome to our place for dinner, no discussion .. Yahya ~ Haha, of course, I’d be honored to attend .. How?"
دارت غزلان دار غمز نوار حتى تفافات .. يحيى ~ نطلاقاو .. خلاها ساهية فيه,Ghazlan flirted with Noir until things escalated... Yahya ~ they broke up... she was left distracted by him.
تابعة مها وعقلها طاير ركبات معاها كتهضر وهي طايشة فسما .. ( طلعاتها معاها بقرصة,"Maha followed her, her mind wandering, she got in with her, talking absentmindedly... (She brought her back to reality with a pinch)."
) نوار ~ اححح أماما حشومة عليك .. غزلان ~ من صباح وأنا ندوي فين,"Nour: ""Ahhh, shame on you..""  
Ghazlan: ""Since morning, I've been talking, where..."""
عقلك . نوار ~ ( شكون خلاه ليك ) هانا شكنتي كتقولي .. غزلان ~,Your mind. Light ~ (Who left it for you?) Here’s what you were saying .. Ghizlan ~
علاش ماقلتيليش بلي يحيى ديجا كتعرفيه .. نوار ~ واو غاتنزل عليا من السما مثلا,"""Why didn't you tell me that you already know Yahya, Nawar? ~ Like wow, will it fall on me from the sky or something?"""
أنه قرا عندك .. بعض سراعات وبزز باش تفاكيت من أسئلتها الغبية واش بيناتكوم شي,"He studied with you... some conflicts and struggles to get rid of her stupid questions, is there something between you two?"
حاجة واش واش واش .. ماعرفتش كيفاش وصل ليل بسرعة .. منكذبش أن قلبي كان,"Something... I don't know how the night came so quickly... I won't lie, my heart was..."
فقمة الفرحة وفنفس الوقت متوترة بحالي تقول غايجوني الخطاب .. ولكن هو راه عشق قلبي,"Overwhelmed with joy and at the same time nervous, as if suitors are coming for me... but he is the love of my heart."
يا ناس جاي اليوم لعندنا لدار وعلاش حيت ماما عارضاه للغدا يا لسخرية القدر وهو,"Oh, the irony!"
ديجا قرا عندها وكان من أحسن الطلاب قاليك ... بعد مارحبنا بيه وأنا كنحاول نتصرف,"He had already studied with her and was one of the best students, he said... after we welcomed him, I tried to manage."
عادي كأنه فقط شخص من المعرفة ولكن قلبي لي كيدق فال500 كيبين عكس ذلك ...,"Normal, as if just an acquaintance, but my heart racing at 500 says otherwise..."
الطريقة باش كان كيهضر وهو على طاولة العشاء .. فعلا هاد السيد كل نهار كيزيد,"The way he was talking at the dinner table... truly, this man improves every day."
إثبتلي أنه شخص ماكاينش منو جوج فهاد العالم الشخص لي دخل لقلبي وماعاودش خرج ..,"Prove to me that there's no one like him in this world, the person who entered my heart and never left."
ماعرفت داك الماكلة كيدارت دازت وأنا شبعت غير بالشوفة فيه .. كتحس بالرجولة ديالو الطاغية,"""I don't know how that food was made, it passed by and I felt full just looking at it... You can feel its overwhelming masculinity."""
فالمكان .. فهاد اللحضة حسدت داك الكرسي لي كالس عليه حسدت الكاس لي حاط عليهوم,"In that moment, I envied the chair he was sitting on, I envied the glass he was holding."
شفايفو حسدت باه أو مو لي كيمشي لعندهوم كل نهار .. حسدت إيليف ... وي,"His lips envied his father, or not the one who goes to them every day... envied Elif... yes."
حسدتها .. مالكة قلبو .. حسدتها وحسدتها وحسدتها ... سعدااتها خلات قلبو يعمر غير بيها,"I envied her... the queen of his heart... I envied her, envied her, and envied her... her happiness made his heart fill only with her."
.. سعداتها بكلمت كنبغيك لي كتخرج من فمو .. سعداتها بشوفاتو ليها .. سعداتها بفمو,".. Lucky her with the words ""I love you"" that come out of his mouth .. Lucky her with his looks at her .. Lucky her with his mouth."
لي كاتنطق بإسم حبيبتي ليها .. سعداتها بممارستو معاها ... عشقته يا ناس ،، أحببته,"The one who speaks in the name of my beloved... how lucky she is to be with him... I adored him, oh people, I loved him."
بكل جوارحي ،، أنا بغيت هاد الولد يا ناس ،، ماكرهتش نطق بيها بصوت عاااااالي,"With all my heart, I want this boy, people, I wish I could say it out loud."
ونقول هادا بغيتو ليا ،، ماكرهتش نخرج قلبي من بلاصتو ونقولو شوف هادا راه ولا,"And I say, I want this for myself, I wouldn't mind taking my heart out of its place and telling it, look, this is what it has become."
ليك ،، ليك بوحدك نتا ... داز داك العشا وماعرفتو كيف داز نضراتو لي كل,"Here, just for you... That evening passed, and I don't know how it passed, his looks said it all."
مرة إيضور ويغمزني دون مايقشع شي واحد كيخليني نغرق فحوايجي ،، بعد ماتسالمنا ومشا رجعت,"Once he passed by and winked at me without anyone noticing, leaving me to drown in my thoughts. After we greeted each other and he left, I went back."
بحالي لدار وتلاحيت فغرفتي كنشوف فالسقف ،، عيني مغرغرين بالحب ،، كنتعذب نهار على نهار,"It's like I was thrown into my room, staring at the ceiling, my eyes filled with love, suffering day by day."
، باغا نساه أو ماقدراش،، واش هادا هو الحب لي كانو كيحسو بيه جميع الناس,"""I want to forget him, but I can't. Is this the love that everyone talks about?"""
وأنا كنت كنستهزأ بيه ،، واش هو هاكا كيحس باش كيفكر فإيليف ،، هاد الجملة,"""And I was mocking him, does he feel this way when he thinks about Elif?"""
بالضبط خلاتني نزيد نتحرق فقلبي هو دابا كل تفكيرو حبيبتو إيليف ،، ااااااه أيحيى شحال,"Exactly, what made my heart burn even more is that now all his thoughts are about his beloved Elif... Ah, Ayhi, how much..."
# كنبغيك .. يحيى .. مين وصل لدارو كيف شعل الضوء شاف تصويرتها بإبتسامتها المعتادة,"I love you .. Yahya .. When he arrived home and turned on the light, he saw her picture with her usual smile."
قرب وبدا كيدوز بصبعو على التصويرة شوية تكا عليها براسو .. ماحسش بالدمعة لي دازت,"He leaned in, ran his finger over the picture, then rested his head on it... unaware of the tear that fell."
من عينو .. المرأة الوحيدة لي طيحات طغيان جبروته .. المرأة الوحيدة لي ستاهلو عينيه,The only woman who brought down the tyranny of his arrogance... the only woman his eyes deemed worthy.
يبكيو عليها .. المرأة الوحيدة لي ركع ليها .. رجع هز ريحتها ورشها فالبيت كاملة,They cry for her... the only woman he knelt for... he brought back her scent and spread it throughout the house.
وتلاح على الناموسية جر المخذة ديالها وكيتفكر بعض من لحضاتهوم ... يحيى ~ عرفتي يا,"He threw himself on the bed, pulled its pillow, and started recalling some of their moments... Yahya ~ You know..."
آليف لا مشيت حتا شديتك .. إيليف ~ ههههه فالأحلام سيدي ... يحيى ~ بلى,"Aleef: ""No, I caught you.""  
Elif: ""Hahaha, in your dreams, sir.""  
Yahya: ""Yes."""
ماتحدايني ... قربات وحطات صبعها على فمو .. إيليف ~ ششش شكون إقدر إتحداك أحياتي,"Don't challenge me ... She got closer and put her finger on his lips .. ""Shhh, who could challenge you, my love?"""
.. تعلات حاطا شفايفها على شفايفو .. إيليف ~ روح إيليف .. ( رجعات باستو,""".. She placed her lips on his lips .. Elif ~ Go, Elif .. (She kissed him again)"""
فخذو ) قلب إيليف ... ( باستو من عينيو ) عيون إيليف .. نتا كلك,Thighs (Elephant's heart...) Paste from my eyes (Elephant's eyes)... You eat it all.
نفس إيليف .. ( هزات يديه أو باستهوم ) مانقدرش نتخلا عليك أحياتي .. نتا,"Same feeling... (raised his hands or kissed them) I can't let go of you, my life... You."
ماتسوا والو قدام الدنيا .. كنبغيك أروحي .. يحيى ~ # كنبغيك أ إيليف القمر,"""You mean nothing compared to the world... I love you, my soul... Long live ~ # I love you, moon's beloved."""
كان شاهد على هاد العاشقين نوار فغرفتها بوضعية الجنين وباينة غير مرتاحة فالنعسة .. ويحيى,"He witnessed those lovers, Nwar in her room in a fetal position, appearing uncomfortable in her sleep... and Yahya."
لي ناعس معنق المخذة وعند بالو حبيبتو لي مشات وخلاتو .. اه الحب صعيييييب بزااااف,"The one sleeping, hugging the pillow, thinking of his beloved who left him... Ah, love is so difficult."
.. ماكيختارش ... أو فنفس الوقت ماكيتلقاش ... كيعذب .. وفنفس الوقت .. كيفرح ..,"He doesn't choose ... and at the same time, he doesn't find ... it hurts ... and at the same time ... it brings joy ..."
كيهرس ... كيحطم ... كقلبليك حياتك وفنفس الوقت .. كيمنحك طاقة جديدة .. كينعشك ..,"It breaks ... it destroys ... it turns your life upside down, and at the same time ... it gives you new energy ... it revitalizes you ..."
كيسعدك .. كتولي سعادتك مبنية على الطرف الثاني .. وعذابك باش تسعدو هو بمرتبة سعاد,It makes you happy... Your happiness becomes dependent on the other person... And your struggle to make them happy becomes your own happiness.
بالنسبة ليك ... فقت فالصباح فطرت يالاه خارجة حتا كيطلاقا ليا بابا ... سعيد ~,"For me ... I woke up in the morning, had breakfast, and just went out when I ran into my dad ... Saïd."
أجي نتي لهنا .. نوار ~ شنو ! ؟؟ .. سعيد ~ هاداك لي عرضاتو,Come here .. Nawar ~ What !?? .. Saeed ~ The one who invited her.
هاديك البارح شكون .. نوار ~ فف هاداك أبابا راه مريض كان عندي .. سعيد,"Yesterday, who was it... Nouar ~ Oh, that was Baba, he was sick, he was with me... Saïd."
~ أرايليا نمرتو ... نوار ~ ها اا ع علاش ! ! ! سعيد ~,~ Araylia Nimrto ... Noir ~ This is why! ! ! Saïd ~
غانعرضو تانا .. نوار ~ شناااااهووو لاواه لاواه زدتو فيه .. سعيد ~ شنو دابا,Said ~ What now?
غاترجعيها فوجه باك .. نوار ~ أبابا راه ماجاتش نعرضوه تاحنا .. سعيد ~ الالة,You will return it to your father’s face.
قتليك أنا باغي نعرضو تانا ونتعرف عليه أرايليا النمرة ولا غانجيبها راسي .. نوار ~,"I told you I want to invite him and get to know him, give me the number or I'll get it myself .. Noir ~"
عرفتي أبابا راه إلى ماحمقتوني غاتصيفطوني للقبر والله العضيم .. ديكشي لي كان بابا عرضو,"You know, Dad, if you don't drive me crazy, you'll send me to the grave, I swear to God... That's what it is, Dad, accept it."
وأنا والله إلى ناكرة للأمر والغريب فالأمر أنه قبل وبلعكس تشرف باش أنه يجي ..,"And honestly, I deny the matter, and the strange thing is that before, on the contrary, he was honored to come."
يا ربي واش هادا كيديرها بلعاني ولا شنو .. راه قتليكوم لا محمقوني يصيفطوني للقبر,"Oh God, is he doing this on purpose or what... I told you, don't drive me crazy or you'll send me to the grave."
.. اليوم غايجي وللدار عندي ،، بابا عيط للخادمة تكلفات بالعشا طبعا حيت ماكنعرف نطيب,".. Today he's coming to my house, my dad called the maid to take care of dinner, of course, because I don't know how to cook."
واااالو .. دخل وسلم عليه بابا كلسنا وكنا غير بثلاثة فوق الطاولة بابا كان كيهضر,"Nothing... He came in, greeted my dad, and we sat down—just the three of us at the table. My dad was talking."
معاه غير على المستوى ديال الدراسات ديالو تقريبا بحال ماما البارح وأنا غير كنلعب بالفورشيطة,"With him, just about the level of his studies, almost like my mom. Yesterday, I was just playing with the fork."
فالطبسيل حتا كيفاجئني بالجملة لي قال .. يحيى ~ نوار أنا مزال كنحس راسي ماشي,"In the plate, he even surprised me with the sentence he said... Yahya ~ Nawar, I still feel like I'm not..."
مزيان ومكرهتش شي حصص مزال .. نوار ~ هاا لا لا ر راك مزيان ساليتي,"Good, and I wouldn't mind some more sessions .. Amazing ~ Oh no no, you're good, you finished."
الحصص دياولك كاملين .. يجيى ~ نو راه باقي غير كيجيبليك الله .. سعيد ~,All your shares are complete .. it will come ~ because it's just God providing for you .. Saïd ~
كنشوف صدمني هاد السيد فين باغي إوصل الله أعلم .. يحيى ~ احم مهيم غدا,"I see, this guy shocked me, where does he want to go? Only God knows... Yahya ~ Ahem, important, tomorrow."
إنشاء الله غانجي لعندك .. نوار ~ واش داوي منيتك نييت ... سعيد ~ نوار,"God willing, I will come to you .. Nawar ~ Are you serious about your intention ... Saeed ~ Nawar"
أش هاد الهضرة السيد راه قاليك مازال كيحس راسو ماشي مزيان .. ديكشي لي كان,What is this talk? The man said he still doesn't feel well... that's what happened.
بابا عرضو وأنا والله إلى ناكرة للأمر والغريب فالأمر أنه قبل وبلعكس تشرف باش أنه,"My dad was invited, and honestly, I’m against it, and the strange thing is that he accepted and, on the contrary, felt honored."
يجي .. يا ربي واش هادا كيديرها بلعاني ولا شنو .. راه قتليكوم لا محمقوني,"He comes .. Oh God, is he doing this on purpose or what .. I told you, don't drive me crazy."
يصيفطوني للقبر .. اليوم غايجي وللدار عندي ،، بابا عيط للخادمة تكلفات بالعشا طبعا حيت,"""They'll send me to the grave... Today he's coming to the house, my dad called the maid to take care of dinner, of course, because..."""
ماكنعرف نطيب واااالو .. دخل وسلم عليه بابا كلسنا وكنا غير بثلاثة فوق الطاولة بابا,"I don't know how to cook at all... He came in and greeted my dad, we sat down, and it was just the three of us at the table, dad."
كان كيهضر معاه غير على المستوى ديال الدراسات ديالو تقريبا بحال ماما البارح وأنا غير,"He was talking to him only about his level of studies, almost like Mom yesterday, and I was just..."
كنلعب بالفورشيطة فالطبسيل حتا كيفاجئني بالجملة لي قال .. يحيى ~ نوار أنا مزال كنحس,"""I was playing with the fork in the plate until he surprised me with the sentence he said... Yahya ~ Nawar, I still feel."""
راسي ماشي مزيان ومكرهتش شي حصص مزال .. نوار ~ هاا لا لا ر راك,"My head is not okay, and I wouldn't mind some more sessions... Noir ~ Haa no no, you're..."
مزيان ساليتي الحصص دياولك كاملين .. يجيى ~ نو راه باقي غير كيجيبليك الله ..,"Good, you’ve completed all your sessions .. it’s coming ~ just trust that God will provide .."
سعيد ~ زيدي معاه أبنتي شي حصص مافيها باس ... واش أنا كنبعيه الخضرة هنايا،,"Said ~ Give my daughter some sessions, it’s no problem ... Do you think I sell vegetables here?"
بقيت غير كنشوف صدمني هاد السيد فين باغي إوصل الله أعلم .. يحيى ~ احم,"I was just watching, this guy shocked me, where does he want to end up? Only God knows... Yahya ~ Ahem"
مهيم غدا إنشاء الله غانجي لعندك .. نوار ~ واش داوي منيتك نييت ... سعيد,"Important, tomorrow, God willing, I will come to you .. Nawar ~ Are your intentions sincere ... Saeed"
~ نوار أش هاد الهضرة السيد راه قاليك مازال كيحس راسو ماشي مزيان .. ماعرفتش,"~ Nawar, what is this talk? The man said he still doesn't feel well... I don't know."
واش بلعاني دارها ولا بصح وليت نشك فراسي واش أنا لي ماشي نورمال .. ماسالا,Did he do it on purpose or for real? I'm starting to doubt myself—am I the one who's not normal? .. That's it.
ديك العشا تاقربت نسخف من كترت ماقلبي كيضرب .. طلعت لغرفتي وأنا تفكيري عليه بطبيعة,"That evening, I almost fainted from how fast my heart was beating... I went up to my room, and my thoughts were naturally about him."
الحال كيفاش وعلاش باغي إيزيد حصص مزال زعما بصح إكون كيحس راسو باقي مصدوم على,"The situation, how and why does he want to add more sessions, does he still truly feel shocked about..."
إيليف .. ولا غير حيت بغا يتفلى بيا .. ففف كنحس براسي بغا ينفاجر ..,"Elif... or just because he wanted to mess with me... ugh, I feel like I'm about to explode..."
لقيت أحسن حل نستسلم للنوم حتا لغدا ويحن الله .. فقت فالصباح بعد الروتين اليومي,I found the best solution: surrender to sleep until tomorrow and leave it to God... I woke up in the morning after the daily routine.
هبطت كيف خرجت من باب العمارة كنشوفو لا واقيلة غير كيتخايلي .. كان يحيى واقف,"I went down, and as I stepped out of the building's door, I saw him—or maybe I was just imagining it... Yahia was standing there."
ومتكي على طوموبيلتو بشوميز فالأسود وسروال فالأسود معا جاكيت جلد فالأسود كيف شافها هبط شوية,"Leaning on his car, wearing a black shirt, black pants, and a black leather jacket, as soon as he saw her, he lowered himself slightly."
النضاضر من على عينيه كيشوف فيها هي لي واقفة مصدومة .. ~ الأنسة العايدي غانبقاو,"The glasses off his eyes, he sees her standing there shocked... ~ Miss Alaidi, we will stay."
هنا .. عاد فاقت من الصدمة ومشات بخطوات ثقيلة كتقرب من اللوطو فتحات الباب وركبات,"Here... she just recovered from the shock and walked with heavy steps towards the car, opened the door, and got in."
