Darija (Arabe),Arabizi,Arabe,Anglais
جامعة,jami3a,جامعة,university
جامعة,ljami3a,جامعة,university
دپلوم,diplom,دپلوم,diploma
دپلوم,diplome,دپلوم,diploma
إدارة,idara,إدارة,administration
إدارة,lidara,إدارة,administration
طاولة,Tawila,طاولة,bench
طابلة,Tabla,طاولة,bench
فلسفة,flsafa,فلسفة,philosophy
فلسفة,falsafa,فلسفة,philosophy
فلسفة,felsafa,فلسفة,philosophy
مواد,mawad,مواد,subjects
موديل,modules,مواد,subjects
علم,3ilm,علم,science
علم,3lm,علم,science
لغة,logha,لغة,language
لغة,lougha,لغة,language
لغة,lora,لغة,language
أداب,adab,أداب,literature
علوم,3oloum,علوم,sciences
علوم,3ouloum,علوم,sciences
علوم,3olom,علوم,sciences
كتبة,ktba,كتابة,writing
كتابة,kitaba,كتابة,writing
كتابة,ktaba,كتابة,writing
جبر,jabr,جبر,algebra
هندسة,8ndasa,هندسة,geometry
هندسة,handasa,هندسة,geometry
هندسة,8andasa,هندسة,geometry
هندسة,hndasa,هندسة,geometry
لحساب,l7sab,الحساب,computing
لحساب,7sab,الحساب,computing
لحساب,hsab,الحساب,computing
لحساب,l7isab,الحساب,computing
لحساب,7isab,الحساب,computing
لحساب,hisab,الحساب,computing
شيمي,chimi,كيمياء,chemistry
ستيلو,stilo,سيالة,pen
ستيلو,stylo,سيالة,pen
مسطرة,misTara,مسطرة,ruler
مسطرة,msTara,مسطرة,ruler
صاك,sak,محفظة,bag
كارطاب,cartab,محفظة,bag
كارطاب,cartab,محفظة,bag
كارطابل,cartable,محفظة,bag
قلم,9alam,قلم,pencil
قلم,qalam,قلم,pencil
ممحاة,mim7at,ممحاة,eraser
ممحاة,mimhat,ممحاة,eraser
عطلة,3oTla,عطلة,holiday
تقافة,ta9afa,تقافة,culture
تقافة,taqafa,تقافة,culture
حصّة,7issa,حصّة,session
حصّة,7isa,حصّة,session
حصّة,hisa,حصّة,session
حصّة,hissa,حصّة,session
صفحة,Sf7a,صفحة,page
صفحة,Saf7a,صفحة,page
صفحة,Sef7a,صفحة,page
ورقة,wr9a,ورقة,paper
ورقة,wer9a,ورقة,paper
ورقة,war9a,ورقة,paper
ورقة,warqa,ورقة,paper
بحت,b7t,بحث,research
بحت,ba7t,بحث,research
بحت,be7t,بحث,research
سؤال,sou2al,سؤال,question
سؤال,soual,سؤال,question
سؤال,ce2al,سؤال,question
سؤال,so2al,سؤال,question
جواب,jawab,جواب,answer
جواب,jwab,جواب,answer
فكرة,fikra,فكرة,idea
فكرة,fkra,فكرة,idea
حساب,7sab,حساب,count
حساب,7ssab,حساب,count
طول,Tol,طول,length
طول,Toul,طول,length
عرض,3rd,عرض,width
عرض,3ard,عرض,width
عرض,3erd,عرض,width
رتفاع,rtifa3,ارتفاع,hight
رتفاع,irtifa3,ارتفاع,hight
علو,3lo,ارتفاع,hight
علو,3low,ارتفاع,hight
علو,3olo,ارتفاع,hight
علو,3olow,ارتفاع,hight
موضوع,moDo3,موضوع,topic
موضوع,mowDo3,موضوع,topic
موضوع,mawDou3,موضوع,topic
موضوع,mowDou3,موضوع,topic
دائرة,da2ira,دائرة,circle
دائرة,dwwara,دائرة,circle
حرف,7rf,حرف,letter
حرف,7arf,حرف,letter
حرف,7erf,حرف,letter
كلمة,klma,كلمة,word
كلمة,kalma,كلمة,word
كلمة,kelma,كلمة,word
جملة,jomla,جملة,phrase
جملة,joumla,جملة,phrase
فاصلة,faSila,فاصلة,comma
تجربة,tjriba,تجربة,experience
تجربة,tajriba,تجربة,experience
تجربة,tejriba,تجربة,experience
كتلة,kotla,كتلة,mass
حجم,7ajm,حجم,volume
خطأ,khaTa2,خطأ,wrong
خطأ,5aTa2,خطأ,wrong
صحيح,Sa7i7,صحيح,right
صحيح,Sahih,صحيح,right
مقص,m9S,مقص,scissors
مقص,m9aSS,مقص,scissors
مقص,m9eSS,مقص,scissors
مقص,m9as,مقص,scissors
مقص,mi9S,مقص,scissors
مقص,mi9aSS,مقص,scissors
مقص,mi9eSS,مقص,scissors
مقص,mi9as,مقص,scissors
روض,rawD,روضة,kindergarten
روض,raouD,روضة,kindergarten
روض,rawda,روضة,kindergarten
روض,raouda,روضة,kindergarten
تخصّص,takhssos,تخصّص,specialization
تخصّص,ta5ssos,تخصّص,specialization
تخصّص,takhassos,تخصّص,specialization
تخصّص,ta5assos,تخصّص,specialization
تخصّص,takhsos,تخصّص,specialization
تخصّص,ta5sos,تخصّص,specialization
تخصّص,takhasos,تخصّص,specialization
تخصّص,ta5asos,تخصّص,specialization
نقاش,ni9ach,نقاش,discussion
نقاش,niqach,نقاش,discussion
تحليل,t7lil,تحليل,analysis
تحليل,te7lil,تحليل,analysis
تحليل,ta7lil,تحليل,analysis
تحليل,tahlil,تحليل,analysis
تمرين,tmrin,تمرين,exercise
تمرين,tamrin,تمرين,exercise
تمرين,temrin,تمرين,exercise
منحة,min7a,منحة,scholarship
منحة,minha,منحة,scholarship
غياب,ghyab,غياب,absence
غياب,ghiab,غياب,absence
حضور,7oDor,حضور,presence
حضور,7oDour,حضور,presence
حضور,hoDour,حضور,presence
زائد,za2id,زائد,plus
ناقص,na9is,ناقص,minus
ناقص,naqis,ناقص,minus
مضروب,mDroub,مضروب,times
مقسوم,m9soum,مقسوم,divided
مقسوم,me9soum,مقسوم,divided
مقسوم,m9som,مقسوم,divided
مقسوم,ma9soum,مقسوم,divided
معادلة,mo3adala,معادلة,equation
كسر,kasr,كسر,fraction
شكل,chakl,شكل,shape
زاوية,zawiya,زاوية,angle
زاوية,zawia,زاوية,angle
زاوية,zawya,زاوية,angle
طبّ,Tibb,طبّ,medicine
طبّ,Tib,طبّ,medicine
حضانة,7adana,حضانة,nursery school
حضانة,hadana,حضانة,nursery school
الدراسات لعليا,ddirasat l3olya,الدراسات لعليا,higher education
الدراسات لعليا,ddirasat l3olia,الدراسات لعليا,higher education
الدراسات لعليا,eddirasat l3olya,الدراسات لعليا,higher education
الدراسات لعليا,eddirasat l3olia,الدراسات لعليا,higher education
معهد,ma38ad,معهد,institute
معهد,me38ed,معهد,institute
معهد,ma3had,معهد,institute
معهد,m3hed,معهد,institute
باك,bac,بكالوريا,baccalaureate
باك,lbac,بكالوريا,baccalaureate
مقال,ma9al,مقال,essay
مقال,ma9aal,مقال,essay
مقال,ma9al,مقال,article
مقال,ma9aal,مقال,article
سلّان,sellan,غياب,absence
سلّان,sllan,غياب,absence
غياب,ghiab,غياب,absence
غياب,riab,غياب,absence
فصل,class,فصل,class
فصل,klas,فصل,class
واجب,wajib,واجب,homework
واجب,devoir,واجب,homework
مدرسة,madrasa,مدرسة,school
مدرسة,skola,مدرسة,school
مدرس,moudarris,مدرس,teacher
أستاذ,ustadh,مدرس,teacher
أستاذ,ostadh,مدرس,teacher
نقطة,no9ta,علامة,mark
نقطة,noqta,علامة,mark
نجاح,najah,نجاح,success
نجاح,success,نجاح,success
تعليم,taalim,تعليم,education
تعليم,ta3lim,تعليم,education
تعليم,education,تعليم,education
مراجعة,revisioun,مراجعة,revision
مراجعة,revision,مراجعة,revision
تقييم,t9dir,تقييم,evaluation
تقييم,ta9dir,تقييم,evaluation
تقييم,ta9yim,تقييم,evaluation
تقييم,tqdir,تقييم,evaluation
تقييم,evaluation,تقييم,evaluation
درس,dars,درس,course
درس,cours,درس,course
مكتبة,maktaba,مكتبة,library
مكتبة,mktba,مكتبة,library
بيداغوجيا,pedagogia,بيداغوجيا,pedagogy
بيداغوجي,pedagogy,بيداغوجيا,pedagogy
نجاح,najah,نجاح,succeed
نجاح,naja7,نجاح,succeed
دعم ,da3m,دعم دراسي,school support
ليكور,licours,دعم دراسي,school support
سطاج,stage,تدريب,internship
مختبر,labo,مختبر,laboratory
أنا أحب التعليم,ana bahib ataalim,أنا أحب التعليم,I love studying
الأستاذ يدرس,l'ustad yudarris,الأستاذ يدرس,The teacher teaches
نجحت في الامتحان,nja7t fi imtihan,نجحت في الامتحان,I passed the exam
المدرسة تبدأ الساعة 8,lecole yabda 3la tmania,المدرسة تبدأ الساعة 8,The school starts at 8 AM
