Darija (Arabe),Arabizi,Arabe,Anglais
شنو ندير باش نبدل بطاقة التعريف؟,chno ndir bach nbddel bita9at ta3rif?,ماذا أفعل لتغيير بطاقة التعريف؟,What should I do to change my ID card?
وقتاش تبدأ الانتخابات؟,waqtach tbd2 intikhabat?,متى تبدأ الانتخابات؟,When do elections start?
وقتاش تبدأ الانتخابات؟,w9tach tbda inti5abat?,متى تبدأ الانتخابات؟,When do elections start?
وقتاش تبدأ الانتخابات؟,wi9tach tebda inti5abat?,متى تبدأ الانتخابات؟,When do elections start?
وقتاش تبدأ الانتخابات؟,wi9tch tabda inti5abat?,متى تبدأ الانتخابات؟,When do elections start?
كيفاش نشارك في مشروع حكومي؟,kifach nchark f mashrou3 hokoumi?,كيف أشارك في مشروع حكومي؟,How can I participate in a government project?
كيفاش نشارك في مشروع حكومي؟,kifach ncharek f machrou3 7okoumi?,كيف أشارك في مشروع حكومي؟,How can I participate in a government project?
كيفاش نشارك في مشروع حكومي؟,kifach ncharek f mchrou3 7okoumi?,كيف أشارك في مشروع حكومي؟,How can I participate in a government project?
فين نلقى قانون الخدمة المدنية؟,fin nalqa qanoun khidma madaniya?,أين أجد قانون الخدمة المدنية؟,Where can I find the civil service law?
فين نلقى قانون الخدمة المدنية؟,fin nal9a 9anoun 5idma madaniya?,أين أجد قانون الخدمة المدنية؟,Where can I find the civil service law?
شنو هي حقوق المواطن؟,chno hiya 7o9ou9 lmwatin?,ما هي حقوق المواطن؟,What are the rights of a citizen?
شنو هي حقوق المواطن؟,chno hiya 7o9ou9 lmowatin?,ما هي حقوق المواطن؟,What are the rights of a citizen?
شنو هي حقوق المواطن؟,chno hiya 7oqouq lmowatin?,ما هي حقوق المواطن؟,What are the rights of a citizen?
كيفاش نحل مشكلة إدارية؟,kifach nhal mochkil idari?,كيف أحل مشكلة إدارية؟,How can I solve an administrative issue?
كيفاش نحل مشكلة إدارية؟,kifach nhall mochkil idari?,كيف أحل مشكلة إدارية؟,How can I solve an administrative issue?
شنو هي واجبات المواطن؟,chno hiya wajibat lmwatin?,ما هي واجبات المواطن؟,What are the duties of a citizen?
شنو هي واجبات المواطن؟,chno hiya wajibat lmowatin?,ما هي واجبات المواطن؟,What are the duties of a citizen?
شنو هي واجبات المواطن؟,chno hiya wajibat lmowatn?,ما هي واجبات المواطن؟,What are the duties of a citizen?
شنو هي واجبات المواطن؟,chno hiya wajibat lmwatn?,ما هي واجبات المواطن؟,What are the duties of a citizen?
شنو هي واجبات المواطن؟,chno hiya wajibat lmwtn?,ما هي واجبات المواطن؟,What are the duties of a citizen?
كيفاش نقدم شكاية؟,kifach n9dm chikaia?,كيف أقدم شكوى؟,How do I file a complaint?
كيفاش نقدم شكاية؟,kifach nqdm chikaia?,كيف أقدم شكوى؟,How do I file a complaint?
كيفاش نقدم شكاية؟,kifach n9dm chikaya?,كيف أقدم شكوى؟,How do I file a complaint?
كيفاش نقدم شكاية؟,kifach nqdm chikaya?,كيف أقدم شكوى؟,How do I file a complaint?
كيفاش نقدم شكاية؟,kifach n9dem chikaia?,كيف أقدم شكوى؟,How do I file a complaint?
كيفاش نقدم شكاية؟,kifach n9dam chikaia?,كيف أقدم شكوى؟,How do I file a complaint?
فين نمشي باش نسجل الشركة ديالي؟,fin nmchi bach nsjl charika dyali?,أين أذهب لتسجيل شركتي؟,Where should I go to register my company?
فين نمشي باش نسجل الشركة ديالي؟,fin nemchi bach nsejl charika dyali?,أين أذهب لتسجيل شركتي؟,Where should I go to register my company?
فين نمشي باش نسجل الشركة ديالي؟,fin namchi bach nsejel charika dyali?,أين أذهب لتسجيل شركتي؟,Where should I go to register my company?
فين نمشي باش نسجل الشركة ديالي؟,fin nmchi bch nsajl charika dyali?,أين أذهب لتسجيل شركتي؟,Where should I go to register my company?
شنو هي الوثائق المطلوبة؟,chno hiya watha2iq matloba?,ما هي الوثائق المطلوبة؟,What are the required documents?
شنو هي الوثائق المطلوبة؟,chno hiya watha2i9 matloba?,ما هي الوثائق المطلوبة؟,What are the required documents?
شنو هي الوثائق المطلوبة؟,chno hiya wata2i9 mtloba?,ما هي الوثائق المطلوبة؟,What are the required documents?
كيفاش نشارك في الانتخابات؟,kifach nchark f intikhabat?,كيف أشارك في الانتخابات؟,How can I participate in elections?
كيفاش نشارك في الانتخابات؟,kifach nchark f inti5abat?,كيف أشارك في الانتخابات؟,How can I participate in elections?
كيفاش نشارك في الانتخابات؟,kifach nchrk f intikhabat?,كيف أشارك في الانتخابات؟,How can I participate in elections?
كيفاش نشارك في الانتخابات؟,kifach nchrk f inti5abat?,كيف أشارك في الانتخابات؟,How can I participate in elections?
فين نقدم طلب دعم؟,fin nqdm talab da3m?,أين أقدم طلب دعم؟,Where can I apply for support?
فين نقدم طلب دعم؟,fin n9dm talab da3m?,أين أقدم طلب دعم؟,Where can I apply for support?
فين نقدم طلب دعم؟,fin n9dm talab d3m?,أين أقدم طلب دعم؟,Where can I apply for support?
فين نقدم طلب دعم؟,fin nqdm talab da3m?,أين أقدم طلب دعم؟,Where can I apply for support?
فين نقدم طلب دعم؟,fin n9dm talb da3m?,أين أقدم طلب دعم؟,Where can I apply for support?
شنو هي المهام ديال السلطة المحلية؟,chno hiya mhamaat solta ma7aliya?,ما هي مهام السلطة المحلية؟,What are the tasks of local authorities?
شنو هي المهام ديال السلطة المحلية؟,chno hiya maham dyal solta ma7aliya?,ما هي مهام السلطة المحلية؟,What are the tasks of local authorities?
شنو هي المهام ديال السلطة المحلية؟,chno hiya maham dyal solta mahaliya?,ما هي مهام السلطة المحلية؟,What are the tasks of local authorities?
شنو هي المهام ديال السلطة المحلية؟,chno hiya ma8am dyal solta ma7aliya?,ما هي مهام السلطة المحلية؟,What are the tasks of local authorities?
شنو هي المهام ديال السلطة المحلية؟,chno hiya mham solta ma7aliya?,ما هي مهام السلطة المحلية؟,What are the tasks of local authorities?
كيفاش نلقى خدمة حكومية؟,kifach nalqa khidma hokoumiya?,كيف أجد وظيفة حكومية؟,How can I find a government job?
كيفاش نلقى خدمة حكومية؟,kifach nal9a 5dma 7okoumiya?,كيف أجد وظيفة حكومية؟,How can I find a government job?
شنو نعمل باش نبدل العنوان؟,chno n3ml bach nbddl l3ounwan?,ماذا أفعل لتغيير العنوان؟,What should I do to change my address?
شنو نعمل باش نبدل العنوان؟,chno n3ml bach nbddel l3onwan?,ماذا أفعل لتغيير العنوان؟,What should I do to change my address?
شنو نعمل باش نبدل العنوان؟,chno naml bach nbdel l3onwan?,ماذا أفعل لتغيير العنوان؟,What should I do to change my address?
وقتاش تكون جلسة البرلمان؟,waqtach tkoun jalsa lbarlaman?,متى تكون جلسة البرلمان؟,When does the parliament session occur?
وقتاش تكون جلسة البرلمان؟,wa9tach tkon jalsa lbarlaman?,متى تكون جلسة البرلمان؟,When does the parliament session occur?
فين نمشي باش نحل مشكل قانوني؟,fin nmchi bach nhall mochkil qanouni?,أين أذهب لحل مشكلة قانونية؟,Where should I go to solve a legal issue?
فين نمشي باش نحل مشكل قانوني؟,fin nmchi bach nhal mochkil 9anouni?,أين أذهب لحل مشكلة قانونية؟,Where should I go to solve a legal issue?
فين نمشي باش نحل مشكل قانوني؟,fin nemchi bach n7l mochkil 9anouni?,أين أذهب لحل مشكلة قانونية؟,Where should I go to solve a legal issue?
كيفاش نستفد من المساعدة الاجتماعية؟,kifach nstafd mn msa3ada ijtima3iya?,كيف أستفيد من المساعدة الاجتماعية؟,How can I benefit from social assistance?
كيفاش نستفد من المساعدة الاجتماعية؟,kifach nstafd men mosa3ada ijtima3iya?,كيف أستفيد من المساعدة الاجتماعية؟,How can I benefit from social assistance?
كيفاش نستفد من المساعدة الاجتماعية؟,kifach nstfd men msa3da ijtima3iya?,كيف أستفيد من المساعدة الاجتماعية؟,How can I benefit from social assistance?
كيفاش نستفد من المساعدة الاجتماعية؟,kifach nstfed men msa3da ijtima3iya?,كيف أستفيد من المساعدة الاجتماعية؟,How can I benefit from social assistance?
شنو هي شروط التوظيف العمومي؟,chno hiya chourout tawdif 3omomi?,ما هي شروط التوظيف العمومي؟,What are the requirements for public employment?
شنو هي شروط التوظيف العمومي؟,chno hiya chourout tawdhif 3omomi?,ما هي شروط التوظيف العمومي؟,What are the requirements for public employment?
شنو هي شروط التوظيف العمومي؟,chno hiya chourout twdif 3omomi?,ما هي شروط التوظيف العمومي؟,What are the requirements for public employment?
فين نلقى معلومات على السكن الاجتماعي؟,fin nalqa ma3loumat 3la sakan ijtima3i?,أين أجد معلومات عن السكن الاجتماعي؟,Where can I find information about social housing?
فين نلقى معلومات على السكن الاجتماعي؟,fin nal9a ma3loumat 3la sakn ijtima3i?,أين أجد معلومات عن السكن الاجتماعي؟,Where can I find information about social housing?
فين نلقى معلومات على السكنة الاجتماعية؟,fin nalqa m3loumat 3la sokna ijtima3ia?,أين أجد معلومات عن السكن الاجتماعي؟,Where can I find information about social housing?
كيفاش نسجل ولدي فالمدرسة العمومية؟,kifach nsjl wlidi f madrassa 3omomiya?,كيف أسجل ابني في المدرسة العمومية؟,How do I enroll my child in a public school?
كيفاش نسجل ولدي فالمدرسة العمومية؟,kifach nsjl wlidi f madrssa 3omomiya?,كيف أسجل ابني في المدرسة العمومية؟,How do I enroll my child in a public school?
كيفاش نسجل ولدي فالمدرسة العمومية؟,kifach nsjel wlidi f madrassa 3omomiya?,كيف أسجل ابني في المدرسة العمومية؟,How do I enroll my child in a public school?
شنو هي شروط الخدمة العسكرية؟,chno hiya chourout khidma 3askariya?,ما هي شروط الخدمة العسكرية؟,What are the conditions for military service?
شنو هي شروط الخدمة العسكرية؟,chno hiya chourout 5dma 3askariya?,ما هي شروط الخدمة العسكرية؟,What are the conditions for military service?
كيفاش نستخرج شهادة الميلاد؟,kifach nstakhrj chahadat milad?,كيف أستخرج شهادة الميلاد؟,How can I obtain a birth certificate?
كيفاش نستخرج شهادة الميلاد؟,kifach nsta5rj chahadat milad?,كيف أستخرج شهادة الميلاد؟,How can I obtain a birth certificate?
كيفاش نستخرج شهادة الميلاد؟,kifach nst5rj cha8adat milad?,كيف أستخرج شهادة الميلاد؟,How can I obtain a birth certificate?
شنو ندير باش نبدل بطاقة الناخب؟,chno ndir bach nbddl bita9at montakhib?,ماذا أفعل لتغيير بطاقة الناخب؟,What should I do to change my voter card?
شنو ندير باش نبدل بطاقة الناخب؟,chno ndir bach nbddl bita9at montakhib?,ماذا أفعل لتغيير بطاقة الناخب؟,What should I do to change my voter card?
فين نلقى خدمات التقاعد؟,fin nalqa khidmat ta9a3od?,أين أجد خدمات التقاعد؟,Where can I find retirement services?
فين نلقى خدمات التقاعد؟,fin nal9a 5adamat ta9a3od?,أين أجد خدمات التقاعد؟,Where can I find retirement services?
فين نلقى خدمات التقاعد؟,fin nalqa khidmat taqa3od?,أين أجد خدمات التقاعد؟,Where can I find retirement services?
كيفاش نتبع مشروع التنمية المحلية؟,kifach ntba3 machrou3 tanmiya mahaliya?,كيف أتابع مشروع التنمية المحلية؟,How can I follow up on a local development project?
كيفاش نتبع مشروع التنمية المحلية؟,kifach ntba3 mashrou3 tanmiya ma7aliya?,كيف أتابع مشروع التنمية المحلية؟,How can I follow up on a local development project?
شنو هي الإجراءات باش نحصل على دعم فلاحي؟,chno hiya ijraat bach nhsl 3la da3m fala7i?,ما هي الإجراءات للحصول على دعم فلاحي؟,What are the steps to get agricultural support?
شنو هي الإجراءات باش نحصل على دعم فلاحي؟,chno hiya ijraat bach nhasel 3la da3m fila7i?,ما هي الإجراءات للحصول على دعم فلاحي؟,What are the steps to get agricultural support?
شنو هي الإجراءات باش نحصل على دعم فلاحي؟,chno hiya ijraat bach nhasel 3la da3m flahi?,ما هي الإجراءات للحصول على دعم فلاحي؟,What are the steps to get agricultural support?
كيفاش نقدم شكاية ضد قرار إداري؟,kifach nqdm chikaia dhid qarar idari?,كيف أقدم شكوى ضد قرار إداري؟,How do I file a complaint against an administrative decision?
كيفاش نقدم شكاية ضد قرار إداري؟,kifach n9dm chikaya did 9arar idari?,كيف أقدم شكوى ضد قرار إداري؟,How do I file a complaint against an administrative decision?
فين نلقى رقم مصلحة المواطنين؟,fin nalqa ra9m masla7at lmwatinin?,أين أجد رقم مصلحة المواطنين؟,Where can I find the citizen's service number?
فين نلقى رقم مصلحة المواطنين؟,fin nal9a ra9m msl7at lmowatinin?,أين أجد رقم مصلحة المواطنين؟,Where can I find the citizen's service number?
فين نلقى رقم مصلحة المواطنين؟,fin nal9a ra9m masl7at lmowatnin?,أين أجد رقم مصلحة المواطنين؟,Where can I find the citizen's service number?
شنو هي المساعدات الاجتماعية المتوفرة؟,chno hiya mosa3adat ijtima3iya mtwafira?,ما هي المساعدات الاجتماعية المتوفرة؟,What social assistance is available?
شنو هي المساعدات الاجتماعية المتوفرة؟,chno hiya mosa3adat ijtima3iya mtwafra?,ما هي المساعدات الاجتماعية المتوفرة؟,What social assistance is available?
شنو هي المساعدات الاجتماعية المتوفرة؟,chno hiya mosa3dat ijtima3iya mtwafra?,ما هي المساعدات الاجتماعية المتوفرة؟,What social assistance is available?
كيفاش نحل مشكل في فاتورة الماء؟,kifach nhall mochkil f fatura ma2?,كيف أحل مشكلة في فاتورة الماء؟,How can I solve an issue with my water bill?
كيفاش نحل مشكل في فاتورة الماء؟,kifach nhal mochkil f fatoura ma?,كيف أحل مشكلة في فاتورة الماء؟,How can I solve an issue with my water bill?
كيفاش نحل مشكل في فاتورة الماء؟,kifach n7el mochkil f fatura ma2?,كيف أحل مشكلة في فاتورة الماء؟,How can I solve an issue with my water bill?
كيفاش نحل مشكل في فاتورة الماء؟,kifach n7al mochkil f fatura ma2?,كيف أحل مشكلة في فاتورة الماء؟,How can I solve an issue with my water bill?
فين نقد ندفع ضرائبي؟,fin nqdr ndfa3 dara2ibi?,أين يمكنني دفع ضرائبي؟,Where can I pay my taxes?
فين نقد ندفع ضرائب ديالي؟,fin nqdr ndfa3 dara2ib diali?,أين يمكنني دفع ضرائبي؟,Where can I pay my taxes?
فين نقد ندفع ضرائب ديالي؟,fin n9dr ndfa3 dara2ib diali?,أين يمكنني دفع ضرائبي؟,Where can I pay my taxes?
شنو هي حقوقي كعامل في القطاع الحكومي؟,chno hiya 7o9ou9i ka3amil f qita3 hokoumi?,ما هي حقوقي كعامل في القطاع الحكومي؟,What are my rights as a government sector employee?
شنو هي حقوقي كعامل في القطاع الحكومي؟,chno hiya 7o9ou9i ka3amil f 9ita3 7okoumi?,ما هي حقوقي كعامل في القطاع الحكومي؟,What are my rights as a government sector employee?
كيفاش نلقى دليل الوزارات؟,kifach nalqa dalil wizara?,كيف أجد دليل الوزارات؟,How can I find the ministry directory?
كيفاش نلقى دليل الوزارات؟,kifach nal9a dalil wizara?,كيف أجد دليل الوزارات؟,How can I find the ministry directory?
فين نلقى معلومات على برامج الدعم الحكومي؟,fin nalqa ma3loumat 3la baramij da3m hokoumi?,أين أجد معلومات عن برامج الدعم الحكومي؟,Where can I get information about government support programs?
فين نلقى معلومات على برامج الدعم الحكومي؟,fin nal9a ma3loumat 3la baramij d3m 7okoumi?,أين أجد معلومات عن برامج الدعم الحكومي؟,Where can I get information about government support programs?
شنو هي الإجراءات باش نحصل على رخصة البناء؟,chno hiya ijraat bach nhsl 3la rakhsa bina2?,ما هي الإجراءات للحصول على رخصة البناء؟,What are the steps to obtain a building permit?
شنو هي الإجراءات باش نحصل على رخصة البناء؟,chno hiya ijraat bach n7sel 3la rakhsa bina2?,ما هي الإجراءات للحصول على رخصة البناء؟,What are the steps to obtain a building permit?
شنو هي الإجراءات باش نحصل على رخصة البناء؟,chno hiya ijraat bach n7sel 3la ro5sa bina2?,ما هي الإجراءات للحصول على رخصة البناء؟,What are the steps to obtain a building permit?
كيفاش نشارك في مناقصة حكومية؟,kifach nchark f monaqassa hokoumiya?,كيف أشارك في مناقصة حكومية؟,How can I participate in a government tender?
كيفاش نشارك في مناقصة حكومية؟,kifach nchark f mona9ssa 7okoumiya?,كيف أشارك في مناقصة حكومية؟,How can I participate in a government tender?
فين نقد نطلب توضيحات قانونية؟,fin n9dr ntlob tawdi7at 9anouniya?,أين يمكنني طلب توضيحات قانونية؟,Where can I request legal clarifications?
فين نقد نطلب توضيحات قانونية؟,fin nqdr ntlob tawdi7at qanouniya?,أين يمكنني طلب توضيحات قانونية؟,Where can I request legal clarifications?
فين نقد نطلب توضيحات قانونية؟,fin nqdr ntlob tawdihat qanouniya?,أين يمكنني طلب توضيحات قانونية؟,Where can I request legal clarifications?
كيفاش نلقى تفاصيل قوانين الهجرة؟,kifach nalqa tafasil qawanin hijra?,كيف أجد تفاصيل قوانين الهجرة؟,How can I find details about immigration laws?
كيفاش نلقى تفاصيل قوانين الهجرة؟,kifach nal9a tafasil 9awanin hijra?,كيف أجد تفاصيل قوانين الهجرة؟,How can I find details about immigration laws?
كيفاش نسجل فبرنامج الضمان الاجتماعي؟,kifach nsjl f barnamej daman ijtima3i?,كيف أسجل في برنامج الضمان الاجتماعي؟,How do I register for the social security program?
شنو هي الحقوق ديالي كمواطن مقيم بالخارج؟,chno hiya l7o9ou9 dyali ka mwatin mo9im f lkharij?,ما هي حقوقي كمواطن مقيم بالخارج؟,What are my rights as a citizen living abroad?
شنو هي الحقوق ديالي كمواطن مقيم بالخارج؟,chno hiya l7o9ou9 dyali ka mowatin mo9im f l5arj?,ما هي حقوقي كمواطن مقيم بالخارج؟,What are my rights as a citizen living abroad?
فين نلقى مكتب الشكاوي ديال الحكومة؟,fin nalqa maktab chikayat hokouma?,أين أجد مكتب شكاوي الحكومة؟,Where can I find the government's complaint office?
فين نلقى مكتب الشكاوي ديال الحكومة؟,fin nal9a maktab chikayat 7okouma?,أين أجد مكتب شكاوي الحكومة؟,Where can I find the government's complaint office?
كيفاش نستفد من برامج تكوين حكومية؟,kifach nstafd mn baramij takwin hokoumi?,كيف أستفيد من برامج التكوين الحكومية؟,How can I benefit from government training programs?
كيفاش نستفد من برامج تكوين حكومية؟,kifach nstfed mn baramij takwin 7okoumi?,كيف أستفيد من برامج التكوين الحكومية؟,How can I benefit from government training programs?
شنو هي المهام ديال مجلس الجهة؟,chno hiya lmaham dyal majlis jiha?,ما هي مهام مجلس الجهة؟,What are the responsibilities of the regional council?
كيفاش نطلب تصريح للعمل في القطاع العمومي؟,kifach ntlob tasri7 3amal f 9ita3 3omomi?,كيف أطلب تصريح للعمل في القطاع العمومي؟,How do I request a permit to work in the public sector?
كيفاش نطلب تصريح للعمل في القطاع العمومي؟,kifach ntlob tasri7 3amal f qita3 3omomi?,كيف أطلب تصريح للعمل في القطاع العمومي؟,How do I request a permit to work in the public sector?
كيفاش نشارك فجلسة استماع برلمانية؟,kifach nchark f jalsa istima3 barlamaniya?,كيف أشارك في جلسة استماع برلمانية؟,How can I participate in a parliamentary hearing session?
شنو ندير باش نحل مشكل في الوثائق؟,chno ndir bach nhall mochkil f lwatha2i9?,ماذا أفعل لحل مشكلة في الوثائق؟,What should I do to resolve a problem with my documents?
شنو ندير باش نحل مشكل في الوثائق؟,chno ndir bach n7al mochkil f lwatha2i9?,ماذا أفعل لحل مشكلة في الوثائق؟,What should I do to resolve a problem with my documents?
شنو ندير باش نحل مشكل في الوثائق؟,chno ndir bach n7l mochkil f lwatha2i9?,ماذا أفعل لحل مشكلة في الوثائق؟,What should I do to resolve a problem with my documents?
فين نلقى معلومات على الضرائب الجديدة؟,fin nalqa ma3loumat 3la dara2ib jdida?,أين أجد معلومات عن الضرائب الجديدة؟,Where can I find information about new taxes?
فين نلقى معلومات على الضرائب الجديدة؟,fin nal9a ma3loumat 3la dara2ib jdida?,أين أجد معلومات عن الضرائب الجديدة؟,Where can I find information about new taxes?
كيفاش ندير باش نلقى مساعدة قانونية؟,kifach ndir bach nalqa msa3ada qanouniya?,كيف أجد مساعدة قانونية؟,How can I get legal assistance?
شنو هي شروط الحصول على الجنسية؟,chno hiya chourout 7sol 3la jinsiyya?,ما هي شروط الحصول على الجنسية؟,What are the conditions for obtaining citizenship?
كيفاش ندير باش نطلب رخصة التنقل؟,kifach ndir bach ntlob rakhsa tana9ol?,كيف أطلب رخصة التنقل؟,How do I request a travel permit?
فين نلقى دليل المستثمرين؟,fin nalqa dalil mostathmirin?,أين أجد دليل المستثمرين؟,Where can I find an investor's guide?
فين نلقى دليل المستثمرين؟,fin nal9a dalil mostatmirin?,أين أجد دليل المستثمرين؟,Where can I find an investor's guide?
شنو ندير إذا تأخر القرار الإداري ديالي؟,chno ndir ila t2akhar qarar idari dyali?,ماذا أفعل إذا تأخر القرار الإداري الخاص بي؟,What should I do if my administrative decision is delayed?
شنو ندير إذا تأخر القرار الإداري ديالي؟,chno ndir ila t2akhar 9arar idari dyali?,ماذا أفعل إذا تأخر القرار الإداري الخاص بي؟,What should I do if my administrative decision is delayed?
كيفاش الحكومة كتتابع شكاوي المواطنين؟,kifach hokouma kattaba3 chikayat lmwatinin?,كيف تتابع الحكومة شكاوي المواطنين؟,How does the government follow up on citizens' complaints?
كيفاش الحكومة كتتابع شكاوي المواطنين؟,kifach 7okouma kattaba3 chikayat dyal lmwatnin?,كيف تتابع الحكومة شكاوي المواطنين؟,How does the government follow up on citizens' complaints?
شنو هي الإجراءات ديال تغيير الحالة العائلية؟,chno hiya ijraat ta3dil 7ala 3a2iliya?,ما هي إجراءات تغيير الحالة العائلية؟,What are the steps to update my marital status?
كيفاش نقد نقدم مشروع للنظر فيه؟,kifach nqdm mashrou3 li nnadar fih?,كيف أقدم مشروع للنظر فيه؟,How can I submit a project for consideration?
كيفاش نقدر نقدّم بروجي باش يديروه في الاعتبار؟,Kifach nqdr nqaddem project bash idirouh fi l-i3tibar?,كيف أقدم مشروع للنظر فيه؟,How can I submit a project for consideration?
كيفاش نقدر نقدّم بروجي باش يديروه في الاعتبار؟,Kifach n9dr n9addem project bash idirouh fi l i3tibar?,كيف أقدم مشروع للنظر فيه؟,How can I submit a project for consideration?
كيفاش نقدر نقدّم بروجي باش يديروه في الاعتبار؟,Kifach n9dr n9addm projet bach idirouh fi l i3tibar?,كيف أقدم مشروع للنظر فيه؟,How can I submit a project for consideration?
فين نقدر نلقى المعلومات القانونية بالتفصيل؟,Fin nqdr nal9a lma3lomat alqanouniya btafsil?,أين أجد تفاصيل قانونية دقيقة؟,Where can I find detailed legal information?
فين نقدر نلقى المعلومات القانونية بالتفصيل؟,Fin n9dr nl9a lma3lomat al9 anouniya btafsil?,أين أجد تفاصيل قانونية دقيقة؟,Where can I find detailed legal information?
شنو هي برامج الحكومة لتحسين التشغيل؟,chno hiya baramij hokouma li ta7sin tachghil?,ما هي برامج الحكومة لتحسين التشغيل؟,What are the government programs to improve employment?
كيفاش نقد نتبع الشفافية فالحكومة؟,kifach nqdr ntaba3 chafafiya f hokouma?,كيف أتابع الشفافية في الحكومة؟,How can I monitor government transparency?
كيفاش نقد نتبع الشفافية فالحكومة؟,kifach n9dr ntb3 chafafiya f 7okouma?,كيف أتابع الشفافية في الحكومة؟,How can I monitor government transparency?
كيفاش نقدر نطلب شهادة السكنى؟,Kifash nqdr ntlb shahadat ssokna?,كيف أطلب شهادة السكن؟,How do I request a residence certificate?
كيفاش نقدر نطلب شهادة السكنى؟,Kifach n9dr ntlb chahadat sokna?,كيف أطلب شهادة السكن؟,How do I request a residence certificate?
فين نمشي باش ندير طلب رخصة بناء؟,fin nmchi bach ndir talab rokhsa bina2?,أين أذهب لتقديم طلب رخصة بناء؟,Where should I go to apply for a building permit?
