Darija_Arabe,Arabizi,Arabe_Standard,Anglais
تأخير,ta5ir,زمن الانتظار,Latency
مضخم,Modakhem,مضخم,Amplifier
مضخم,Moda5em,مضخم,Amplifier
كابلاج,Kablaj,توصيلات الكابلات,Cabling
تسليك,taslik,توصيلات الكابلات,Cabling
الإيثرنت,Ethernet,الإيثرنت,Ethernet
مشترك,Moshtarek,مشترك,Subscriber
مشترك,Mochtarek,مشترك,Subscriber
مشترك,Mochtark,مشترك,Subscriber
البوابة,bawaba,البوابة,Gateway
مراقبة الدخول,Kontrol dyal dokhol,التحكم في الوصول,Access Control
مراقبة الدخول,Kontrol dyal do5ol,التحكم في الوصول,Access Control
موازنة الأحمال,Tawazoun l7aml,موازنة الأحمال,Load Balancing
موازنة الأحمال,Tawazoun lhaml,موازنة الأحمال,Load Balancing
الانتشار,Intichar,الانتشار,Propagation
المصافحة,Mosaf7a,المصافحة,Handshake
المصافحة,Mosafa7a,المصافحة,Handshake
الطوبولوجيا,topolojia,الطوبولوجيا,Topology
مكرر,Mokarrar,مكرر,Repeater
القناة,9anat,القناة,Channel
القناة,qanat,القناة,Channel
تصحيح الأخطاء,Tash7i7 l'akhata2,تصحيح الأخطاء,Error Correction
لاسلكي,lasilki,لاسلكي,Wireless
تطوير طويل الامد,tatwir tawil l amad,تطور طويل الأمد,Long-Term Evolution (LTE)
شبكة ديال 5G,chebka dial 5G,شبكة الجيل الخامس,5G Network
شبكة ديال 5G,chbka dial 5G,شبكة الجيل الخامس,5G Network
تليفون,tiliphun,الهاتف المحمول,Mobile Phone
تليفون,tilifun,الهاتف المحمول,Mobile Phone
تليفون,tiliphoun,الهاتف المحمول,Mobile Phone
تليفون,tilifoun,الهاتف المحمول,Mobile Phone
كارت سيم,carte sim,بطاقة SIM,SIM Card
كارت سيم,karte sim,بطاقة SIM,SIM Card
لاپيس,la puce,بطاقة SIM,SIM Card
كارط مشارجة,carta mcharja,مدفوع مسبقًا,Prepaid
فورفي,forfait,مدفوع لاحقًا,Postpaid
تحويل المكالمات,tahwil al mokalamat,تحويل المكالمات,Call Forwarding
تحويل المكالمات,ta7wil al mokalamat,تحويل المكالمات,Call Forwarding
رسالة صوتية,risala sawtiya,البريد الصوتي,Voicemail
انتظار المكالمة,intidar al mokalama,انتظار المكالمة,Call Waiting
الفوترة,al fawtara,الفوترة,Billing
الفوترة,elfawtara,الفوترة,Billing
الفوترة,elfawtira,الفوترة,Billing
خدمة الزبائن,khidmat azzabayin,خدمة العملاء,Customer Service
خدمة الزبائن,5idmat azzabayin,خدمة العملاء,Customer Service
عقد,3aqd,عقد,Contract
عقد,3a9d,عقد,Contract
مكالمات بلا حد,mokalmat bla 7ad,مكالمات غير محدودة,Unlimited Calls
مكالمات بلا حد,mokalmat bla had,مكالمات غير محدودة,Unlimited Calls
مكالمات بلا حد,mokalamat bla had,مكالمات غير محدودة,Unlimited Calls
مكالمات بلا حد,mokalamat bla 7ad,مكالمات غير محدودة,Unlimited Calls
التفعيل,taf3il,التفعيل,Activation
تغطية الشبكة,taghtiyat chabaka,تغطية الشبكة,Network Coverage
تغطية الشبكة,taghtiyat shabaka,تغطية الشبكة,Network Coverage
تغطية الشبكة,taghtiyat chabka,تغطية الشبكة,Network Coverage
تغطية الشبكة,taghtiyat shabka,تغطية الشبكة,Network Coverage
باقة الإنترنت,baqat el internet,باقة الإنترنت,Internet Package
باقة الإنترنت,baqat al internet,باقة الإنترنت,Internet Package
باقة الإنترنت,ba9at al internet,باقة الإنترنت,Internet Package
باقة الإنترنت,baqat el internet,باقة الإنترنت,Internet Package
استعمال,isti3mal,الاستهلاك,Usage
تعبئة,ta3biya,إعادة الشحن,Recharge
تعبئة,ta3bia,إعادة الشحن,Recharge
مزود الخدمة,mzawad lkhidma,مزود الخدمة,Service Provider
مزود الخدمة,mzawad l5idma,مزود الخدمة,Service Provider
مزود الخدمة,mzawed lkhidma,مزود الخدمة,Service Provider
مزود الخدمة,mzawed l5idma,مزود الخدمة,Service Provider
الخط الساخن,el5at essa5in,الخط الساخن,Hotline
الخط الساخن,elkhat essakhin,الخط الساخن,Hotline
الخط الساخن,el5at assa5in,الخط الساخن,Hotline
هوية المتصل,hawiyat lmotasil,هوية المتصل,Caller ID
هوية المتصل,8awiyat lmotasil,هوية المتصل,Caller ID
ميساج,message,خدمة الرسائل القصيرة,SMS (Short Message Service)
ميساج,missage,خدمة الرسائل القصيرة,SMS (Short Message Service)
ميساج مصور,message msawar,خدمة الرسائل متعددة الوسائط,MMS (Multimedia Messaging Service)
ميساج مصور,message msawer,خدمة الرسائل متعددة الوسائط,MMS (Multimedia Messaging Service)
تعبئة,ta3biya,شحن الرصيد,Top-up
متجر التطبيقات,matjar ttatbikat,متجر التطبيقات,App Store
متجر التطبيقات,matjar ettatbi9at,متجر التطبيقات,App Store
متجر التطبيقات,matjar ttatbi9at,متجر التطبيقات,App Store
ويفي,wifi,واي فاي,Wi-Fi
بلوتوث,blutooth,بلوتوث,Bluetooth
بلوتوث,bloutouth,بلوتوث,Bluetooth
سرعة الشبكة,sor3at chabka,سرعة الشبكة,Network Speed
سرعة الشبكة,sor3at chbka,سرعة الشبكة,Network Speed
سرعة الشبكة,sor3at shbka,سرعة الشبكة,Network Speed
سرعة الشبكة,sor3at shabka,سرعة الشبكة,Network Speed
تجوال البيانات,tajwal lbayanat,تجوال البيانات,Data Roaming
تجوال البيانات,tajwal elbayanat,تجوال البيانات,Data Roaming
4G/5G,4G/5G,الجيل الرابع/الجيل الخامس,4G/5G
مدة المكالمة,moddat elmokalama,مدة المكالمة,Call Duration
مدة المكالمة,moddat elmkalma,مدة المكالمة,Call Duration
مدة المكالمة,moddat elmokalma,مدة المكالمة,Call Duration
مدة المكالمة,waqt lmokalmat,مدة المكالمة,Call Duration
مدة المكالمة,waqt lmokalamat,مدة المكالمة,Call Duration
مدة المكالمة,wa9t lmokalamat,مدة المكالمة,Call Duration
مدة المكالمة,wa9t lmokalmat,مدة المكالمة,Call Duration
المكالمة مفوتة,mkalmat mfawta,المكالمة الفائتة,Missed Call
المكالمة فايتة,mkalmat fayta,المكالمة الفائتة,Missed Call
المكالمة مفوتة,mokalmat mfawta,المكالمة الفائتة,Missed Call
المكالمة فايتة,mokalmat fayta,المكالمة الفائتة,Missed Call
لابيل فايتة,l'appel fayta,المكالمة الفائتة,Missed Call
ايستوريك,historique,سجل المكالمات,Call Logs
هيستوريك,historique,سجل المكالمات,Call Logs
كونتاكت,contact,جهات الاتصال,Contacts
المعارف,lm3aref,جهات الاتصال,Contacts
المعرفة,lma3arifa,جهات الاتصال,Contacts
صونيات,sonnayat,نغمات الرنين,Ringtones
بارطاج ديال الإنترنت,partage dyal linternet,نقطة اتصال الهاتف المحمول,Mobile Hotspot
نمرة ديال IMEI,nemra dyal imei,الرقم التسلسلي الدولي للجهاز,IMEI (International Mobile Equipment Identity)
الضمان,daman,الضمان,Warranty
جارونتي,garantie,الضمان,Warranty
كفالة,kafala,الضمان,Warranty
مكالمة صوتية,mokalma sawtiya,مكالمة صوتية,Voice Call
مكالمة صوتية,mkalma sawtiya,مكالمة صوتية,Voice Call
مكالمة فيديو,mokalma video,مكالمة فيديو,Video Call
اپال فيديو,appel video,مكالمة فيديو,Video Call
ابال فيديو,appel video,مكالمة فيديو,Video Call
تطبيق ديال التليفون,tatbiq dyal tilifun,تطبيق الهاتف المحمول,Mobile Application
تطبيق ديال التليفون,tatbiq dial tilifun,تطبيق الهاتف المحمول,Mobile Application
تطبيق ديال التليفون,tatbi9 dial tilifun,تطبيق الهاتف المحمول,Mobile Application
حساب ديال الزبون,hisab dial zabon,حساب العميل,Customer Account
حساب ديال الزبون,7isab dial zabon,حساب العميل,Customer Account
الحد ديال الإنترنت,lhad dial l'internet,حد البيانات,Data Limit
الحد ديال الإنترنت,l7ad dial l'internet,حد البيانات,Data Limit
الحد ديال لي جيغا,l7ad dial les gega,حد البيانات,Data Limit
الحد ديال ليدوني,l7ad dial les données,حد البيانات,Data Limit
دعم تقني,da3m tiqni,الدعم الفني,Technical Support
دعم تقني,da3m tikni,الدعم الفني,Technical Support
دعم تقني,da3m ti9ni,الدعم الفني,Technical Support
طلب خدمة,talab khidma,طلب خدمة,Service Request
طلب خدمة,talab 5idma,طلب خدمة,Service Request
قطع الخدمة,qat3 lkhidma,انقطاع الخدمة,Outage
قطع الخدمة,qat3 l5idma,انقطاع الخدمة,Outage
خطوط ديال السينيال,5tout dial signal,أعمدة الإشارة,Signal Bars
خطوط ديال السينيال,khtout dial signal,أعمدة الإشارة,Signal Bars
بار ديال السينيال,lbar dial signal,أعمدة الإشارة,Signal Bars
كود pin,kode pin,رمز التعريف الشخصي,PIN Code
كود puk,kode pin,رمز فك القفل,PUK Code
تسعيرة ديال المكالمات,tas3ira dial lmokalmat,تعرفة المكالمة,Call Rate
تسعيرة ديال المكالمات,ts3ira dial lmokalmat,تعرفة المكالمة,Call Rate
مكالمة دولية,mokalama dawliya,مكالمة دولية,International Call
مكالمة دولية,mokalma dawliya,مكالمة دولية,International Call
مكالمة دولية,mokalma dawlia,مكالمة دولية,International Call
مكالمة ,mokalama,مكالمة , Call
مكالمة ,mokalma,مكالمة , Call
ابال,appel,مكالمة , Call
نقل رقم الهاتف,na9l ra9m tilifun,نقل رقم الهاتف المحمول,Mobile Number Portability
نبدل نمرة ديال تليفون,nbadel nemra dial tilifun,نقل رقم الهاتف المحمول,Mobile Number Portability
نبدل نمرة ديال تليفون,nbadl nemra dial tilifun,نقل رقم الهاتف المحمول,Mobile Number Portability
نقل رقم الهاتف,naql raqm tilifun,نقل رقم الهاتف المحمول,Mobile Number Portability
الاشتراك,l ishtirak,الاشتراك,Subscription
ابوني,abonné,الاشتراك,Subscription
كونطرا,contra,الاشتراك,Subscription
حل تليفون,7al tilifun,فتح الهاتف,Phone Unlocking
حل تليفون,hal tilifun,فتح الهاتف,Phone Unlocking
بغيت نفعل كارت SIM ديالي,Bghit nfa3el la carte sim dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
بغيت نفعل كارت SIM ديالي,Bghit nfa3l la carte sim dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
بغيت نفعل كارت SIM ديالي,Bghit nf3l la carte sim dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
بغيت نفعل لابيس ديالي,Bghit nfa3el la puce dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
بغيت نفعل لابيس ديالي,Bghit nfa3l la puce dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
بغيت نفعل لابيس ديالي,Bghit nf3l la puce dyali,أريد تفعيل بطاقة SIM الخاصة بي,I want to activate my SIM card.
شحال تمن فورفي الإنترنت بلا حدود؟,Ch7al taman dial forfait internet bla 7doud,ما تكلفة خطة البيانات غير المحدودة؟,What is the cost of an unlimited data plan?
شحال تمن فورفي الإنترنت بلا حدود؟,Ch7al taman dial forfait internet bla 7odoud,ما تكلفة خطة البيانات غير المحدودة؟,What is the cost of an unlimited data plan?
شحال تمن فورفي الإنترنت بلا حدود؟,Ch7al taman dial forfait internet bla hodoud,ما تكلفة خطة البيانات غير المحدودة؟,What is the cost of an unlimited data plan?
شحال تمن فورفي الإنترنت بلا حدود؟,Ch7al taman dial forfait internet bla hdoud,ما تكلفة خطة البيانات غير المحدودة؟,What is the cost of an unlimited data plan?
شحال تمن فورفي الإنترنت بلا حدود؟,Ch7al tman dial forfait internet bla 7odoud,ما تكلفة خطة البيانات غير المحدودة؟,What is the cost of an unlimited data plan?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash ymkn liya nbadel ra9mi l operateur akhor?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash ymkn liya nbadel raqmi l operateur akhor?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash ymkn liya nbadel ra9m dyali l operateur akhor?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash n9dr n7awel ra9m dyali l charika o5ra?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash n9dr  n7awel ra9mi l charika o5ra?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
واش نقدر نحول الرقم ديالي لشركة أخرى,Wash n9dr  n7awel ra9mi l charika okhra?,هل يمكنني نقل رقمي إلى مزود خدمة آخر؟,Can I transfer my phone number to another provider?
خاصني نشحن الكونت ديالي,Khasni nach7an conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خاصني نشحن الكونت ديالي,5asni nach7an conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خاصني نشحن الكونت ديالي,Khasni nch7n conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خاصني نشحن الكونت ديالي,5asni nch7n conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خصني نشحن الكونت ديالي,Khsni nach7an conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خصني نشحن الكونت ديالي,5sni nach7an conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خصني نشحن الكونت ديالي,Khsni nch7n conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
خصني نشحن الكونت ديالي,5sni nch7n conte dyali,أحتاج إلى إعادة شحن حسابي المدفوع مسبقًا.,I need to recharge my prepaid account.
الإنترنت ديالي بطيء بزاف، واش تقدر تعاونني؟,L internet dyali bti2a bzaf. Wch t9dr t3awni?,اتصالي بالإنترنت بطيء جدًا. هل يمكنكم المساعدة؟,My internet connection is very slow. Can you help?
الإنترنت ديالي ثقيلة بزاف، واش تقدر تعاونني؟,L internet dyali t9ila bzaf. Wch t9dr t3awni?,اتصالي بالإنترنت بطيء جدًا. هل يمكنكم المساعدة؟,My internet connection is very slow. Can you help?
الإنترنت ديالي ثقيلة بزاف، واش تقدر تعاونني؟,L internet dyali t9ila bzaf. Wch ymkn t3aweni?,اتصالي بالإنترنت بطيء جدًا. هل يمكنكم المساعدة؟,My internet connection is very slow. Can you help?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifash nqdr nchouf shhal sta3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifach nqdr nchouf chhal sta3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifash n9dr nchouf sh7al sta3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifach n9dr nchouf chhal sta3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifash n9dr nchouf sh7al st3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
كيفاش نقدر نشوف شحال استعملت من الانترنت ديالي,Kifach n9dr nchouf chhal st3mlt mn l internet dyali?,كيف يمكنني التحقق من استهلاك البيانات الخاص بي؟,How can I check my data usage?
جاني طلب  PUK كود، أش ندير دابا؟,jani talab puk code ach ndir daba,تلقيت طلب رمز PUK. ماذا يجب أن أفعل؟,I received a PUK code request. What should I do?
وصلني طلب  PUK كود، شنو خاصني ندير دابا؟,wsalni talab puk code chno khasni ndir daba,تلقيت طلب رمز PUK. ماذا يجب أن أفعل؟,I received a PUK code request. What should I do?
وصلني طلب  PUK كود، شنو خاصني ندير دابا؟,wsalni talab puk code chno 5asni ndir daba,تلقيت طلب رمز PUK. ماذا يجب أن أفعل؟,I received a PUK code request. What should I do?
وصلني طلب  PUK كود، شنو خاصني ندير دابا؟,wsalni talab puk code chno 5sni ndir daba,تلقيت طلب رمز PUK. ماذا يجب أن أفعل؟,I received a PUK code request. What should I do?
شنو هي تسعيرة المكالمات والأنترنت فـأوروبا,chno hiya tasirat mokalamat w internet f Europa?,ما هي رسوم التجوال في أوروبا؟,What are the roaming charges in Europe?
شنو هي تسعيرة المكالمات والأنترنت فـأوروبا,chno hiya tasirat mokalmat w internet f Europa?,ما هي رسوم التجوال في أوروبا؟,What are the roaming charges in Europe?
بغيت نبدل الفورفي ديالي لفورفي حسن,Bghit nbdel l-forfait dyali l-forfait hssen,أود ترقية خطة الهاتف المحمول الخاصة بي.,I would like to upgrade my mobile plan.
بغيت نبدل الفورفي ديالي لفورفي حسن,Bghit nbdel l-forfait dyali l-forfait 7ssen,أود ترقية خطة الهاتف المحمول الخاصة بي.,I would like to upgrade my mobile plan.
تصل بيا واحد وما جاوبتش، واش نقدر نلقا الرقم ديالو؟,"Tessl biya wa7ed w ma jawbetch, wash na9der nel9a ra9m dyalo?",فاتتني مكالمة مهمة. هل يمكنني استرداد الرقم؟,I missed an important call. Can I retrieve the number?
التلفون ديالي ما كيبانوش فيه الخطوط ديال الشبكة. واش كاينة شي مشكل فالشبكة؟,Téléphone dyali ma kaybanosh fih l-khṭoṭ dyal l-shabka. Wash kayna chi mochkil f l-shabka?,هاتفي لا يظهر إشارات الإشارة. هل هناك مشكلة في الشبكة؟,My phone shows no signal bars. Is there an issue with the network?
التلفون ديالي ما كيبانوش فيه الخطوط ديال الشبكة. واش كاينة شي مشكل فالشبكة؟,Téléphone dyali ma kaybanoch fih lkhṭoṭ dyal lchabka. Wash kayna chi mochkil f lchabka?,هاتفي لا يظهر إشارات الإشارة. هل هناك مشكلة في الشبكة؟,My phone shows no signal bars. Is there an issue with the network?
كيفاش ندير التليفون ديالي باش نخليه يشارك الويفي؟,Kifach ndir tilifon dyali bach nkhalih ycharek l-wifi?,كيف يمكنني إعداد هاتفي كنقطة اتصال؟,How do I configure my phone for mobile hotspot?
كيفاش ندير التليفون ديالي باش نخليه يشارك الويفي؟,Kifach ndir tilifon dyali bach n5alih ycharek l-wifi?,كيف يمكنني إعداد هاتفي كنقطة اتصال؟,How do I configure my phone for mobile hotspot?
كيفاش ندير التليفون ديالي باش نبارطاجي الويفي؟,Kifach ndir tilifon dyali bach npartager l-wifi?,كيف يمكنني إعداد هاتفي كنقطة اتصال؟,How do I configure my phone for mobile hotspot?
ماقدرتش نبعث المساجات. واش ممكن تعاوني؟,Ma qdertch nb3ath lmessajet. Wch momkin t3awnni?,لا أستطيع إرسال رسائل SMS. هل يمكنكم مساعدتي؟,I’m unable to send SMS messages. Can you assist me?
ماقدرتش نبعث المساجات. واش ممكن تعاوني؟,Ma 9dertch nb3ath lmessajet. Wch momkin t3awnni?,لا أستطيع إرسال رسائل SMS. هل يمكنكم مساعدتي؟,I’m unable to send SMS messages. Can you assist me?
واش نقدر نبلوكي نمرة باش ماتعيطش عليا؟,Wash ymkn lia nbloqi nemra bach ma t3iytch 3liya?,هل يمكنني حظر رقم معين من الاتصال بي؟,Can I block a specific number from calling me?
بغيت نفعّل خدمة تسجيل المكالمات الصوتية فالحساب ديالي,Bghit nfa3el khidmat tasjil lmokalamat sawtiya flhesab dyali,أود تفعيل البريد الصوتي في حسابي.,I’d like to enable voicemail on my account.
بغيت نفعّل خدمة تسجيل المكالمات الصوتية فالحساب ديالي,Bghit nfa3l 5idmat tasjil lmokalmat sawtiya fl7isab dyali,أود تفعيل البريد الصوتي في حسابي.,I’d like to enable voicemail on my account.
بغيت نفعّل خدمة تسجيل المكالمات الصوتية فالحساب ديالي,Brit nf3l 5idmat tasjil lmoklmat sawtiya fl7sab dyali,أود تفعيل البريد الصوتي في حسابي.,I’d like to enable voicemail on my account.
بغيت نفعّل خدمة تسجيل المكالمات الصوتية فالحساب ديالي,Bghit nfa3l 5dmat tasjil lmoklmat sawtiya fl7isab dyali,أود تفعيل البريد الصوتي في حسابي.,I’d like to enable voicemail on my account.
واش المكالمات الدولية داخلة فالعرض ديالي؟,wach lmokalmat dawliya da5la f l3ard diali,هل المكالمات الدولية مشمولة في خطتي؟,Is international calling included in my plan?
كيفاش نفعّل خاصية الانتظار فالتلفون ديالي؟,kifach nfa3el 5asiyat l intidhar f telephoni,كيف يمكنني تفعيل انتظار المكالمات على هاتفي؟,How do I activate call waiting on my phone?
كيفاش نفعّل خاصية الانتظار فالتلفون ديالي؟,kifach nfa3el khasiyat l intidar f telephoni,كيف يمكنني تفعيل انتظار المكالمات على هاتفي؟,How do I activate call waiting on my phone?
ضاع ليا التليفون ديالي، واش تقدرو تسدو ليا الكارت سيم؟,dha3 liya tilifun diali wach ta9adro tssedo lia lcarte sim,فقدت هاتفي. هل يمكنكم تعطيل بطاقة SIM؟,I lost my phone. Can you disable the SIM card?
ضاع ليا التليفون ديالي، واش تقدرو تسدو ليا الكارت سيم؟,da3 liya tilifun dyali wach taqadro tssedo lya lkarte sim,فقدت هاتفي. هل يمكنكم تعطيل بطاقة SIM؟,I lost my phone. Can you disable the SIM card?
كيفاش نقدر نتاصل بخدمة الزبائن؟,Kifach nqdr ncontacti 5idmat zabayin,كيف يمكنني التواصل مع خدمة العملاء؟,How can I contact customer service?
كيفاش نقدر نتاصل بخدمة الزباين؟,Kifach nçdr ncontacti khidmat zabayn,كيف يمكنني التواصل مع خدمة العملاء؟,How can I contact customer service?
شحال مدة الضمان ديال هذا التليفون؟,Ch7al modt l daman dyal had telephone,ما هي فترة الضمان لهذا الجهاز المحمول؟,What is the warranty period for this mobile device?
كيفاش نقدر نبرمج الشبكة بيديا؟,Kifach nqder nbrmj chabka b-idia?,كيف يمكنني إعداد الشبكة يدويًا؟,How can I configure the network manually?
كيفاش نقدر نبرمج الشبكة بيديا؟,Kifach n9der nbarmj chabka byadia?,كيف يمكنني إعداد الشبكة يدويًا؟,How can I configure the network manually?
كيفاش نقدر نبرمج الشبكة بيديا؟,Kifach n9der nbarmj chbka byadia?,كيف يمكنني إعداد الشبكة يدويًا؟,How can I configure the network manually?
شنو الفرق بين الريشارج و الكونترا؟,chno l-far9 bin lrecharge w lkontra?,ما الفرق بين الخط المدفوع مسبقًا والخط المفوتر؟,What is the difference between prepaid and postpaid?
شنو الفرق بين الخط المدفوع مسبقًا والمفوتر؟,Chno l ferq bin l 7essab mdfa3 msb9an w mftwr?,ما الفرق بين الخط المدفوع مسبقًا والخط المفوتر؟,What is the difference between prepaid and postpaid?
شنو الفرق بين الخط المدفوع مسبقًا والمفوتر؟,Chno l fr9 bin l 7essab mdfa3 msb9an w mftwr?,ما الفرق بين الخط المدفوع مسبقًا والخط المفوتر؟,What is the difference between prepaid and postpaid?
كيفاش نقدر نجيب نسخة ديال الفاتورة ديالي,Kifash nqder njiib wa7ed l-nas5a dyal l-fatura dyali?  ,كيف يمكنني الحصول على نسخة من فاتورتي؟,How can I get a copy of my bill?
شنو هي السرعة ديال الانترنت في العرض ديالي,Ch7al hiya sor3a dyal l internet f khdti?,ما هي سرعة الإنترنت المضمنة في خطتي؟,What is the internet speed in my plan?
