Darija_Arabe,Arabizi,Arabe_Standard,Anglais
موتلّات,motalat,مثلث,triangle
موتلّات,motlt,مثلث,triangle
موتلّات,motalt,مثلث,triangle
موتلّات,mothalth,مثلث,triangle
مستطيل,mostatil,مستطيل,rectangle
نقطة,no9ta,نقطة,point
نقطة,n9ta,نقطة,point
نقطة,noqta,نقطة,point
صوت,sout,صوت,voice
صوت,sot,صوت,voice
صوت,saout,صوت,voice
زوين,zwin,زوين,beautiful
زوين,zwen,زوين,beautiful
زين,zin,زين,beauty
خيال,khayal,خيال,fiction
خيال,5ayal,خيال,fiction
شاشة,chacha,شاشة,screen
شاشة,chasha,شاشة,screen
كوميديا,koumidia,كوميديا,comedy
كوميديا,koumidya,كوميديا,comedy
كوميديا,comedia,كوميديا,comedy
تاريخي,tarikhi,تاريخي,historical
تاريخي,tari5i,تاريخي,historical
صوت,Sout,صوت,sound
صوت,Soutt,صوت,sound
صوت,Sawt,صوت,sound
صوت,Sawtt,صوت,sound
صوت,Saout,صوت,sound
صوت,Saoutt,صوت,sound
صوت,Sott,صوت,sound
صوت,Sot,صوت,sound
أداة,adat,أداة,instrument
معرض,m3rd,معرض,exhibition
معرض,ma3rad,معرض,exhibition
معرض,ma3rid,معرض,exhibition
معرض,m3rid,معرض,exhibition
معرض,m3rad,معرض,exhibition
مهرجان,mihrajan,مهرجان,festival
مهرجان,mi8rajan,مهرجان,festival
ماكياج,makiyaj,ماكياج,makeup
ماكياج,maquillage,ماكياج,makeup
ماكياج,makiaj,ماكياج,makeup
بطل,batal,بطل,hero
شعبي,ch3bi,شعبي,popular
شعبي,che3bi,شعبي,popular
شعبي,cha3bi,شعبي,popular
رواية,riwaia,رواية,novel
رواية,riwaya,رواية,novel
مسلسل,moslsal,مسلسل,series
مسلسل,mosalsal,مسلسل,series
مسلسل,moslsl,مسلسل,series
مسلسل,mosselsel,مسلسل,series
قناة,9anat,قناة,channel
قناة,qanat,قناة,channel
إشهار,ich8ar,إشهار,advertisement
إشهار,ichhar,إشهار,advertisement
مغنّي,morani,مغنّي,singer
مغنّي,moghani,مغنّي,singer
مغنّي,moghni,مغنّي,singer
فرقة,fr9a,فرقة,band
فرقة,fer9a,فرقة,band
فرقة,fir9a,فرقة,band
فرقة,firqa,فرقة,band
جوق,jou9,جوق,choir
جوق,jo9,جوق,choir
كاسيطا,kassita,شريط,tape
كاسيطا,kasita,شريط,tape
قانون,9anoun,قانون,qanun
قانون,qanoun,قانون,qanun
